stid,name,acute_spell_cvar80
a1441,野母崎,13.33
s47401,稚内,9.17
s47402,北見枝幸,15.17
s47404,羽幌,9.00
s47405,雄武,11.17
s47406,留萌,7.83
s47407,旭川,7.33
s47409,網走,7.67
s47411,小樽,9.67
s47412,札幌,8.67
s47413,岩見沢,8.17
s47417,帯広,13.00
s47418,釧路,10.50
s47420,根室,10.33
s47421,寿都,8.17
s47423,室蘭,9.17
s47424,苫小牧,11.17
s47426,浦河,11.00
s47428,江差,8.00
s47430,函館,9.67
s47433,倶知安,8.83
s47435,紋別,9.83
s47440,広尾,14.00
s47512,大船渡,11.17
s47520,新庄,8.67
s47570,若松,7.67
s47574,深浦,8.33
s47575,青森,7.17
s47576,むつ,10.67
s47581,八戸,9.67
s47582,秋田,9.00
s47584,盛岡,10.00
s47585,宮古,12.83
s47587,酒田,8.67
s47588,山形,7.67
s47590,仙台,13.33
s47592,石巻,11.33
s47595,福島,12.00
s47597,白河,11.17
s47598,小名浜,8.17
s47600,輪島,9.33
s47602,相川,9.00
s47604,新潟,7.17
s47605,金沢,7.67
s47606,伏木,8.00
s47607,富山,8.50
s47610,長野,7.50
s47612,高田,9.17
s47615,宇都宮,12.00
s47616,福井,9.17
s47617,高山,8.17
s47618,松本,7.83
s47620,諏訪,8.17
s47622,軽井沢,11.17
s47624,前橋,9.67
s47626,熊谷,10.50
s47629,水戸,9.17
s47631,敦賀,8.83
s47632,岐阜,8.67
s47636,名古屋,8.67
s47637,飯田,8.50
s47638,甲府,8.67
s47640,河口湖,9.33
s47641,秩父,12.17
s47646,つくば（館野）,9.83
s47648,銚子,8.83
s47649,上野,9.17
s47651,津,7.83
s47653,伊良湖,7.83
s47654,浜松,8.17
s47655,御前崎,8.67
s47656,静岡,9.17
s47657,三島,10.33
s47662,東京,12.33
s47663,尾鷲,10.00
s47666,石廊崎,8.83
s47668,網代,11.00
s47670,横浜,9.17
s47672,館山,9.67
s47674,勝浦,9.00
s47675,大島,8.83
s47677,三宅島,9.67
s47678,八丈島,15.00
s47682,千葉,9.83
s47684,四日市,8.83
s47690,奥日光（日光）,12.00
s47740,西郷,9.00
s47741,松江,9.50
s47742,境,8.83
s47744,米子,7.67
s47746,鳥取,8.17
s47747,豊岡,9.33
s47750,舞鶴,10.00
s47754,萩,9.00
s47755,浜田,7.17
s47756,津山,7.50
s47759,京都,8.33
s47761,彦根,8.50
s47762,下関,10.33
s47765,広島,7.50
s47766,呉,7.67
s47767,福山,7.67
s47768,岡山,7.17
s47769,姫路,7.17
s47770,神戸,6.17
s47772,大阪,7.17
s47776,洲本,7.17
s47777,和歌山,7.83
s47778,潮岬,9.67
s47780,奈良,8.33
s47784,山口,7.83
s47800,厳原,11.00
s47805,平戸,14.50
s47807,福岡,7.67
s47809,飯塚,9.17
s47812,佐世保,11.67
s47813,佐賀,10.67
s47814,日田,9.50
s47815,大分,9.00
s47817,長崎,10.67
s47818,雲仙岳,16.00
s47819,熊本,8.83
s47822,延岡,8.17
s47823,阿久根,10.00
s47824,人吉,9.33
s47827,鹿児島,10.50
s47829,都城,10.00
s47830,宮崎,10.17
s47831,枕崎,9.00
s47835,油津,10.33
s47836,屋久島,11.83
s47837,種子島,9.33
s47838,牛深,11.50
s47843,福江,12.83
s47887,松山,8.00
s47890,多度津,8.33
s47891,高松,8.00
s47892,宇和島,9.17
s47893,高知,8.00
s47895,徳島,7.00
s47897,宿毛,8.83
s47898,清水,9.83
s47899,室戸岬,9.67
s47909,名瀬,9.50
s47912,与那国島,10.67
s47917,西表島,10.17
s47918,石垣島,8.33
s47927,宮古島,8.50
s47929,久米島,10.50
s47936,那覇,9.17
s47940,名護,9.00
s47942,沖永良部,9.00
s47945,南大東（南大東島）,8.33
s47971,父島,9.00
s47991,南鳥島,7.17
