group,name,winter_mean_h,interannual_cv_pct,winter_daily_swing,dark_day_pct,spell_mean_days,spell_worst_days
盆地,松本,5.590,7.32,3.267,19.79,2.71,6
盆地,諏訪,5.939,6.76,3.183,17.54,2.45,5
盆地,軽井沢,5.864,7.56,2.922,15.21,2.68,7
盆地,飯田,5.609,7.44,3.419,22.45,2.94,5
道東,帯広,6.113,8.06,2.976,16.73,2.58,5
道東,釧路,6.011,8.85,3.143,17.87,2.90,8
道東,根室,5.216,10.35,3.179,23.82,3.35,8
太平洋,静岡,6.602,9.02,3.116,17.25,2.71,5
太平洋,名古屋,5.764,6.96,3.507,18.87,2.45,5
日本海,金沢,2.407,12.50,2.688,60.19,8.00,13
日本海,新潟,2.120,11.97,2.313,59.64,8.61,14
