stid,name,lat,n_days,winter_mean_h,interannual_cv_pct,dark2_pct,spell_cvar80_t1,spell_cvar80_t2,spell_cvar80_t3,spell_cvar80_1991_2005,spell_cvar80_2006_2020
a1441,野母崎,32.578333,10753,4.336,7.60,36.82,7.00,8.00,11.67,8.67,7.33
s47401,稚内,45.415,10952,2.231,15.14,63.57,15.83,25.83,38.50,26.67,24.67
s47402,北見枝幸,44.94,10944,3.110,9.55,43.79,8.17,9.83,12.00,10.33,9.00
s47404,羽幌,44.363333,10940,2.316,13.28,63.05,16.50,25.67,32.17,23.00,28.00
s47405,雄武,44.58,10947,3.683,7.61,34.20,7.50,9.00,12.17,8.67,9.33
s47406,留萌,43.945,10956,2.175,14.30,65.25,18.33,32.50,33.67,29.33,34.33
s47407,旭川,43.756667,10956,2.866,9.25,48.70,9.00,14.00,19.00,13.33,14.00
s47409,網走,44.016667,10953,4.365,5.21,30.92,6.17,9.50,10.67,10.33,8.33
s47411,小樽,43.181667,10957,2.705,9.52,51.04,7.67,11.17,17.00,11.00,11.33
s47412,札幌,43.06,10957,3.441,8.31,37.97,5.17,9.00,10.67,8.67,9.33
s47413,岩見沢,43.211667,10957,3.418,8.42,43.08,6.33,10.33,14.67,8.67,11.33
s47417,帯広,42.921667,10948,6.205,5.45,17.17,4.33,4.50,4.50,4.67,4.33
s47418,釧路,42.985,10946,6.031,5.53,19.22,4.17,5.17,5.67,5.00,5.33
s47420,根室,43.33,10948,5.354,6.81,23.89,4.67,6.50,6.83,6.33,6.33
s47421,寿都,42.795,10931,1.763,15.58,71.29,22.83,36.17,50.17,30.00,39.67
s47423,室蘭,42.311667,10946,3.768,7.09,36.36,4.17,8.50,13.00,8.67,8.33
s47424,苫小牧,42.623333,10956,4.676,5.98,23.05,4.17,5.17,6.33,4.67,5.67
s47426,浦河,42.161667,10948,4.844,6.45,29.37,4.50,5.83,7.33,6.33,5.33
s47428,江差,41.866667,10950,2.080,14.87,66.09,13.83,27.17,34.33,29.00,24.67
s47430,函館,41.816667,10957,3.838,7.46,34.46,4.67,6.67,9.33,6.00,7.33
