ダウンロードした時刻：2026/03/16 12:10:44

,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内,稚内
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,1.5,0,8,1,1.0,,8,4.09,8,1,3.1,8
2025/1/2,0.0,0,8,1,1.0,,8,1.62,8,1,3.1,8
2025/1/3,0.2,0,8,1,1.0,,8,2.85,8,1,3.1,8
2025/1/4,0.7,0,8,1,1.0,,8,3.24,8,1,3.2,8
2025/1/5,0.7,0,8,1,1.0,,8,3.34,8,1,3.2,8
2025/1/6,0.0,0,8,1,1.0,,8,1.56,8,1,3.3,8
2025/1/7,0.9,0,8,1,1.0,,8,3.41,8,1,3.3,8
2025/1/8,0.0,0,8,1,1.1,,8,1.81,8,1,3.4,8
2025/1/9,0.0,0,8,1,1.1,,8,1.78,8,1,3.4,8
2025/1/10,0.1,0,8,1,1.1,,8,2.95,8,1,3.5,8
2025/1/11,0.0,0,8,1,1.1,,8,1.62,8,1,3.5,8
2025/1/12,0.0,0,8,1,1.2,,8,1.69,8,1,3.6,8
2025/1/13,4.7,0,8,1,1.2,,8,6.29,8,1,3.7,8
2025/1/14,0.0,0,8,1,1.2,,8,1.79,8,1,3.8,8
2025/1/15,0.0,0,8,1,1.3,,8,2.17,8,1,3.8,8
2025/1/16,0.0,0,8,1,1.3,,8,2.54,8,1,3.9,8
2025/1/17,1.5,0,8,1,1.3,,8,4.36,8,1,4.0,8
2025/1/18,1.1,0,8,1,1.3,,8,4.46,8,1,4.0,8
2025/1/19,0.5,0,8,1,1.4,,8,2.75,8,1,4.1,8
2025/1/20,1.6,0,5,1,1.4,,8,3.31,5,1,4.2,8
