ダウンロードした時刻：2026/03/16 12:11:03

,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武,雄武
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,3.5,0,8,1,2.8,,8,,0,1,,0
2025/1/2,3.5,0,8,1,2.8,,8,,0,1,,0
2025/1/3,6.2,0,8,1,2.8,,8,,0,1,,0
2025/1/4,2.9,0,8,1,2.8,,8,,0,1,,0
2025/1/5,1.5,0,8,1,2.8,,8,,0,1,,0
2025/1/6,0.0,0,8,1,2.8,,8,,0,1,,0
2025/1/7,0.0,0,8,1,2.8,,8,,0,1,,0
2025/1/8,7.3,0,8,1,2.8,,8,,0,1,,0
2025/1/9,7.0,0,8,1,2.9,,8,,0,1,,0
2025/1/10,0.0,0,8,1,2.9,,8,,0,1,,0
2025/1/11,0.0,0,8,1,2.9,,8,,0,1,,0
2025/1/12,0.0,0,8,1,3.0,,8,,0,1,,0
2025/1/13,4.5,0,8,1,3.0,,8,,0,1,,0
2025/1/14,3.3,0,8,1,3.0,,8,,0,1,,0
2025/1/15,7.3,0,8,1,3.0,,8,,0,1,,0
2025/1/16,5.3,0,8,1,3.1,,8,,0,1,,0
2025/1/17,6.3,0,8,1,3.1,,8,,0,1,,0
2025/1/18,5.3,0,8,1,3.1,,8,,0,1,,0
2025/1/19,7.3,0,8,1,3.1,,8,,0,1,,0
2025/1/20,1.4,0,8,1,3.1,,8,,0,1,,0
2025/1/21,0.9,0,8,1,3.2,,8,,0,1,,0
2025/1/22,8.8,0,8,1,3.2,,8,,0,1,,0
2025/1/23,3.6,0,8,1,3.2,,8,,0,1,,0
2025/1/24,0.0,0,8,1,3.3,,8,,0,1,,0
