ダウンロードした時刻：2026/03/16 12:11:00

,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川,旭川
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,1.2,0,8,1,1.9,,8,5.45,8,1,4.8,8
2025/1/2,1.4,0,8,1,1.9,,8,4.60,8,1,4.8,8
2025/1/3,0.6,0,8,1,1.9,,8,5.21,8,1,4.9,8
2025/1/4,0.1,0,8,1,1.9,,8,5.83,8,1,4.9,8
2025/1/5,1.5,0,8,1,1.9,,8,5.92,8,1,5.0,8
2025/1/6,0.0,0,8,1,2.0,,8,2.38,8,1,5.0,8
2025/1/7,0.1,0,8,1,2.0,,8,5.42,8,1,5.1,8
2025/1/8,0.9,0,8,1,2.0,,8,4.62,8,1,5.2,8
2025/1/9,0.1,0,8,1,2.1,,8,3.70,8,1,5.2,8
2025/1/10,5.5,0,8,1,2.1,,8,7.82,8,1,5.3,8
2025/1/11,0.8,0,8,1,2.2,,8,5.83,8,1,5.4,8
2025/1/12,0.1,0,8,1,2.2,,8,5.36,8,1,5.5,8
2025/1/13,1.4,0,8,1,2.3,,8,4.53,8,1,5.5,8
2025/1/14,1.7,0,8,1,2.3,,8,5.26,8,1,5.6,8
2025/1/15,1.6,0,8,1,2.4,,8,4.86,8,1,5.7,8
2025/1/16,4.0,0,8,1,2.5,,8,6.79,8,1,5.8,8
2025/1/17,0.3,0,8,1,2.5,,8,5.18,8,1,5.9,8
2025/1/18,6.5,0,8,1,2.6,,8,8.53,8,1,6.0,8
2025/1/19,4.9,0,8,1,2.7,,8,7.08,8,1,6.1,8
2025/1/20,1.5,0,8,1,2.7,,8,4.81,8,1,6.2,8
