ダウンロードした時刻：2026/03/16 12:11:10

,網走,網走,網走,網走,網走,網走,網走,網走,網走,網走,網走,網走
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,1.7,0,8,1,3.5,,8,4.51,8,1,5.1,8
2025/1/2,6.8,0,8,1,3.4,,8,7.57,8,1,5.2,8
2025/1/3,5.6,0,8,1,3.5,,8,6.84,8,1,5.2,8
2025/1/4,3.7,0,8,1,3.5,,8,5.01,8,1,5.2,8
2025/1/5,7.6,0,8,1,3.5,,8,6.83,8,1,5.3,8
2025/1/6,4.0,0,8,1,3.5,,8,6.06,8,1,5.3,8
2025/1/7,0.0,0,8,1,3.5,,8,1.47,8,1,5.4,8
2025/1/8,7.8,0,8,1,3.5,,8,7.76,8,1,5.4,8
2025/1/9,4.9,0,8,1,3.5,,8,6.86,8,1,5.5,8
2025/1/10,0.5,0,8,1,3.5,,8,4.07,8,1,5.6,8
2025/1/11,1.0,0,8,1,3.5,,8,4.41,8,1,5.6,8
2025/1/12,0.0,0,8,1,3.5,,8,2.29,8,1,5.7,8
2025/1/13,3.8,0,8,1,3.5,,8,6.18,8,1,5.7,8
2025/1/14,5.7,0,8,1,3.5,,8,6.90,8,1,5.8,8
2025/1/15,8.7,0,8,1,3.5,,8,8.71,8,1,5.8,8
2025/1/16,7.1,0,8,1,3.5,,8,8.15,8,1,5.9,8
2025/1/17,3.0,0,8,1,3.5,,8,5.61,8,1,6.0,8
2025/1/18,2.1,0,8,1,3.5,,8,4.82,8,1,6.0,8
2025/1/19,8.9,0,8,1,3.6,,8,8.90,8,1,6.1,8
2025/1/20,1.8,0,8,1,3.6,,8,3.93,8,1,6.2,8
