ダウンロードした時刻：2026/03/16 12:11:16

,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽,小樽
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,2.2,0,8,1,1.7,,8,,0,1,,0
2025/1/2,6.2,0,8,1,1.7,,8,,0,1,,0
2025/1/3,3.9,0,8,1,1.7,,8,,0,1,,0
2025/1/4,4.3,0,8,1,1.7,,8,,0,1,,0
2025/1/5,7.2,0,8,1,1.8,,8,,0,1,,0
2025/1/6,0.0,0,8,1,1.8,,8,,0,1,,0
2025/1/7,0.0,0,8,1,1.8,,8,,0,1,,0
2025/1/8,2.2,0,8,1,1.9,,8,,0,1,,0
2025/1/9,4.6,0,8,1,1.9,,8,,0,1,,0
2025/1/10,2.2,0,8,1,2.0,,8,,0,1,,0
2025/1/11,0.1,0,8,1,2.0,,8,,0,1,,0
2025/1/12,2.9,0,8,1,2.1,,8,,0,1,,0
2025/1/13,3.2,0,8,1,2.1,,8,,0,1,,0
2025/1/14,2.5,0,8,1,2.1,,8,,0,1,,0
2025/1/15,0.9,0,8,1,2.1,,8,,0,1,,0
2025/1/16,1.8,0,8,1,2.1,,8,,0,1,,0
2025/1/17,0.1,0,8,1,2.2,,8,,0,1,,0
2025/1/18,5.3,0,8,1,2.2,,8,,0,1,,0
2025/1/19,3.8,0,8,1,2.2,,8,,0,1,,0
2025/1/20,1.6,0,8,1,2.2,,8,,0,1,,0
2025/1/21,5.5,0,8,1,2.2,,8,,0,1,,0
2025/1/22,1.6,0,8,1,2.2,,8,,0,1,,0
2025/1/23,4.2,0,8,1,2.2,,8,,0,1,,0
2025/1/24,0.1,0,8,1,2.2,,8,,0,1,,0
