ダウンロードした時刻：2026/03/16 12:11:26

,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,4.0,0,8,1,2.5,,8,7.23,8,1,5.1,8
2025/1/2,8.0,0,8,1,2.6,,8,8.74,8,1,5.1,8
2025/1/3,3.9,0,8,1,2.6,,8,6.39,8,1,5.2,8
2025/1/4,5.5,0,8,1,2.6,,8,7.24,8,1,5.3,8
2025/1/5,7.6,0,8,1,2.7,,8,7.98,8,1,5.3,8
2025/1/6,0.0,0,8,1,2.7,,8,2.88,8,1,5.4,8
2025/1/7,0.0,0,8,1,2.8,,8,1.53,8,1,5.5,8
2025/1/8,2.1,0,8,1,2.8,,8,5.51,8,1,5.5,8
2025/1/9,7.1,0,8,1,2.9,,8,8.61,8,1,5.6,8
2025/1/10,2.4,0,8,1,2.9,,8,5.19,8,1,5.7,8
2025/1/11,0.3,0,8,1,2.9,,8,4.16,8,1,5.8,8
2025/1/12,4.9,0,8,1,3.0,,8,8.07,8,1,5.8,8
2025/1/13,5.2,0,8,1,3.0,,8,7.90,8,1,5.9,8
2025/1/14,5.6,0,8,1,3.0,,8,7.81,8,1,5.9,8
2025/1/15,1.1,0,8,1,3.0,,8,4.76,8,1,6.0,8
2025/1/16,2.8,0,8,1,3.0,,8,5.88,8,1,6.0,8
2025/1/17,1.1,0,8,1,2.9,,8,4.58,8,1,6.1,8
2025/1/18,8.4,0,8,1,2.9,,8,9.59,8,1,6.1,8
2025/1/19,4.1,0,8,1,2.9,,8,6.42,8,1,6.2,8
2025/1/20,2.9,0,8,1,2.9,,8,6.20,8,1,6.2,8
