ダウンロードした時刻：2026/03/16 12:11:36

,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広,帯広
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,7.7,0,8,1,5.7,,8,8.43,8,1,6.9,8
2025/1/2,7.5,0,8,1,5.8,,8,8.19,8,1,7.0,8
2025/1/3,8.0,0,8,1,5.8,,8,8.40,8,1,7.0,8
2025/1/4,7.3,0,8,1,5.9,,8,8.26,8,1,7.1,8
2025/1/5,7.8,0,8,1,5.9,,8,8.24,8,1,7.2,8
2025/1/6,0.2,0,8,1,6.0,,8,4.10,8,1,7.2,8
2025/1/7,4.4,0,8,1,6.0,,8,6.30,8,1,7.3,8
2025/1/8,7.5,0,8,1,6.0,,8,8.28,8,1,7.4,8
2025/1/9,8.4,0,8,1,6.0,,8,8.95,8,1,7.5,8
2025/1/10,3.9,0,8,1,6.1,,8,5.83,8,1,7.5,8
2025/1/11,8.6,0,8,1,6.1,,8,8.78,8,1,7.6,8
2025/1/12,8.4,0,8,1,6.0,,8,8.83,8,1,7.7,8
2025/1/13,1.2,0,8,1,6.0,,8,4.03,8,1,7.7,8
2025/1/14,6.2,0,8,1,6.0,,8,7.53,8,1,7.8,8
2025/1/15,7.4,0,8,1,6.0,,8,7.66,5,1,7.8,8
2025/1/16,6.7,0,8,1,6.0,,8,8.06,8,1,7.9,8
2025/1/17,7.3,0,8,1,6.0,,8,8.77,8,1,8.0,8
2025/1/18,8.8,0,8,1,6.0,,8,9.44,8,1,8.0,8
2025/1/19,7.1,0,8,1,6.0,,8,7.61,8,1,8.1,8
2025/1/20,7.6,0,8,1,6.0,,8,7.56,8,1,8.2,8
