ダウンロードした時刻：2026/03/16 12:11:59

,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路,釧路
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.4,0,8,1,5.8,,8,,0,1,,0
2025/1/2,7.0,0,8,1,5.8,,8,,0,1,,0
2025/1/3,6.4,0,8,1,5.8,,8,,0,1,,0
2025/1/4,8.1,0,8,1,5.8,,8,,0,1,,0
2025/1/5,8.1,0,8,1,5.9,,8,,0,1,,0
2025/1/6,0.3,0,8,1,5.9,,8,,0,1,,0
2025/1/7,3.2,0,8,1,5.9,,8,,0,1,,0
2025/1/8,8.9,0,8,1,6.0,,8,,0,1,,0
2025/1/9,9.0,0,8,1,6.0,,8,,0,1,,0
2025/1/10,1.0,0,8,1,6.0,,8,,0,1,,0
2025/1/11,6.8,0,8,1,6.0,,8,,0,1,,0
2025/1/12,9.1,0,8,1,6.1,,8,,0,1,,0
2025/1/13,2.7,0,8,1,6.1,,8,,0,1,,0
2025/1/14,4.8,0,8,1,6.1,,8,,0,1,,0
2025/1/15,8.8,0,8,1,6.0,,8,,0,1,,0
2025/1/16,8.3,0,8,1,6.0,,8,,0,1,,0
2025/1/17,4.4,0,8,1,6.0,,8,,0,1,,0
2025/1/18,9.3,0,8,1,6.0,,8,,0,1,,0
2025/1/19,7.9,0,8,1,6.0,,8,,0,1,,0
2025/1/20,5.1,0,8,1,6.0,,8,,0,1,,0
2025/1/21,7.2,0,8,1,6.0,,8,,0,1,,0
2025/1/22,8.2,0,8,1,6.0,,8,,0,1,,0
2025/1/23,3.4,0,8,1,6.0,,8,,0,1,,0
2025/1/24,0.5,0,8,1,6.1,,8,,0,1,,0
