ダウンロードした時刻：2026/03/16 12:11:56

,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭,室蘭
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,2.6,0,8,1,2.3,,8,4.48,8,1,4.6,8
2025/1/2,1.5,0,8,1,2.3,,8,4.57,8,1,4.7,8
2025/1/3,5.9,0,8,1,2.4,,8,7.48,8,1,4.7,8
2025/1/4,1.3,0,8,1,2.4,,8,4.18,8,1,4.8,8
2025/1/5,2.6,0,8,1,2.4,,8,5.09,8,1,4.9,8
2025/1/6,0.0,0,8,1,2.4,,8,1.91,8,1,4.9,8
2025/1/7,2.9,0,8,1,2.5,,8,3.85,8,1,5.0,8
2025/1/8,2.9,0,8,1,2.5,,8,6.11,8,1,5.0,8
2025/1/9,4.4,0,8,1,2.5,,8,7.05,5,1,5.1,8
2025/1/10,2.1,0,8,1,2.5,,8,5.35,8,1,5.2,8
2025/1/11,5.3,0,8,1,2.6,,8,7.43,8,1,5.2,8
2025/1/12,2.9,0,8,1,2.6,,8,5.49,8,1,5.3,8
2025/1/13,3.3,0,8,1,2.7,,8,6.18,8,1,5.4,8
2025/1/14,2.8,0,8,1,2.7,,8,4.68,8,1,5.5,8
2025/1/15,3.3,0,8,1,2.8,,8,6.48,8,1,5.6,8
2025/1/16,1.8,0,8,1,2.8,,8,5.86,8,1,5.6,8
2025/1/17,0.1,0,8,1,2.9,,8,2.66,8,1,5.7,8
2025/1/18,7.2,0,8,1,2.9,,8,8.94,8,1,5.8,8
2025/1/19,0.6,0,8,1,3.0,,8,2.91,8,1,5.9,8
