ダウンロードした時刻：2026/03/16 12:11:52

,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,7.5,0,8,1,4.2,,8,,0,1,,0
2025/1/2,8.2,0,8,1,4.3,,8,,0,1,,0
2025/1/3,6.9,0,8,1,4.4,,8,,0,1,,0
2025/1/4,7.6,0,8,1,4.4,,8,,0,1,,0
2025/1/5,7.4,0,8,1,4.5,,8,,0,1,,0
2025/1/6,0.0,0,8,1,4.5,,8,,0,1,,0
2025/1/7,5.5,0,8,1,4.6,,8,,0,1,,0
2025/1/8,2.3,0,8,1,4.6,,8,,0,1,,0
2025/1/9,8.5,0,8,1,4.6,,8,,0,1,,0
2025/1/10,3.9,0,8,1,4.6,,8,,0,1,,0
2025/1/11,2.2,0,8,1,4.7,,8,,0,1,,0
2025/1/12,6.1,0,8,1,4.7,,8,,0,1,,0
2025/1/13,2.1,0,8,1,4.7,,8,,0,1,,0
2025/1/14,3.8,0,8,1,4.7,,8,,0,1,,0
2025/1/15,6.7,0,8,1,4.7,,8,,0,1,,0
2025/1/16,5.3,0,8,1,4.6,,8,,0,1,,0
2025/1/17,5.7,0,8,1,4.6,,8,,0,1,,0
2025/1/18,8.9,0,8,1,4.6,,8,,0,1,,0
2025/1/19,0.2,0,8,1,4.6,,8,,0,1,,0
2025/1/20,4.3,0,8,1,4.6,,8,,0,1,,0
2025/1/21,9.0,0,8,1,4.6,,8,,0,1,,0
2025/1/22,1.7,0,8,1,4.6,,8,,0,1,,0
2025/1/23,2.8,0,8,1,4.6,,8,,0,1,,0
