ダウンロードした時刻：2026/03/16 12:12:02

,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館,函館
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,6.0,0,8,1,3.0,,8,7.16,8,1,5.4,8
2025/1/2,6.3,0,8,1,3.0,,8,8.11,8,1,5.5,8
2025/1/3,7.7,0,8,1,3.0,,8,8.71,8,1,5.5,8
2025/1/4,3.1,0,8,1,3.0,,8,5.74,8,1,5.6,8
2025/1/5,6.5,0,8,1,3.0,,8,7.85,8,1,5.7,8
2025/1/6,0.0,0,8,1,3.0,,8,1.42,8,1,5.7,8
2025/1/7,0.6,0,8,1,3.1,,8,2.63,8,1,5.8,8
2025/1/8,1.7,0,8,1,3.1,,8,5.26,8,1,5.8,8
2025/1/9,4.3,0,8,1,3.1,,8,7.13,8,1,5.9,8
2025/1/10,5.6,0,8,1,3.1,,8,7.99,8,1,6.0,8
2025/1/11,7.6,0,8,1,3.2,,8,9.25,8,1,6.0,8
2025/1/12,2.4,0,8,1,3.2,,8,5.83,8,1,6.1,8
2025/1/13,4.4,0,8,1,3.2,,8,7.31,8,1,6.2,8
2025/1/14,1.8,0,8,1,3.3,,8,4.55,8,1,6.2,8
2025/1/15,3.6,0,8,1,3.3,,8,5.61,8,1,6.3,8
2025/1/16,1.8,0,8,1,3.4,,8,6.62,5,1,6.4,8
2025/1/17,5.5,0,8,1,3.4,,8,8.89,8,1,6.5,8
2025/1/18,7.8,0,8,1,3.5,,8,9.87,8,1,6.6,8
2025/1/19,0.0,0,8,1,3.5,,8,2.11,8,1,6.7,8
2025/1/20,4.8,0,8,1,3.5,,8,7.56,8,1,6.7,8
