ダウンロードした時刻：2026/03/16 12:12:09

,青森,青森,青森,青森,青森,青森,青森,青森,青森,青森,青森,青森
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,1.1,0,8,1,1.4,,8,4.32,8,1,4.1,8
2025/1/2,0.0,0,8,1,1.3,,8,2.36,8,1,4.1,8
2025/1/3,1.0,0,8,1,1.3,,8,5.50,8,1,4.2,8
2025/1/4,0.0,0,8,1,1.3,,8,2.87,8,1,4.2,8
2025/1/5,2.2,0,8,1,1.3,,8,6.14,8,1,4.2,8
2025/1/6,1.3,0,8,1,1.3,,8,4.84,8,1,4.3,8
2025/1/7,1.0,0,8,1,1.3,,8,4.79,8,1,4.3,8
2025/1/8,0.4,0,8,1,1.3,,8,2.50,8,1,4.3,8
2025/1/9,0.4,0,8,1,1.3,,8,3.80,8,1,4.4,8
2025/1/10,5.7,0,8,1,1.3,,8,7.49,8,1,4.5,8
2025/1/11,6.2,0,8,1,1.4,,8,9.10,8,1,4.5,8
2025/1/12,6.4,0,8,1,1.4,,8,9.02,8,1,4.6,8
2025/1/13,5.0,0,8,1,1.4,,8,8.14,8,1,4.7,8
2025/1/14,0.2,0,5,1,1.5,,8,3.03,5,1,4.8,8
2025/1/15,0.1,0,8,1,1.5,,8,2.35,8,1,4.8,8
2025/1/16,0.4,0,8,1,1.6,,8,4.58,8,1,4.9,8
2025/1/17,1.3,0,8,1,1.6,,8,5.02,8,1,5.0,8
2025/1/18,0.9,0,8,1,1.6,,8,5.60,8,1,5.1,8
2025/1/19,6.0,0,8,1,1.7,,8,8.75,8,1,5.2,8
2025/1/20,1.1,0,8,1,1.7,,8,5.28,8,1,5.3,8
