ダウンロードした時刻：2026/03/16 12:12:18

,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,0.8,0,8,1,1.2,,8,3.75,8,1,3.9,8
2025/1/2,2.6,0,8,1,1.2,,8,5.51,8,1,3.9,8
2025/1/3,2.3,0,8,1,1.2,,8,5.87,8,1,3.9,8
2025/1/4,1.2,0,8,1,1.1,,8,4.42,8,1,4.0,8
2025/1/5,0.2,0,8,1,1.1,,8,3.80,8,1,4.0,8
2025/1/6,3.6,0,8,1,1.1,,8,6.51,8,1,4.0,8
2025/1/7,3.3,0,8,1,1.1,,8,6.84,8,1,4.1,8
2025/1/8,1.7,0,8,1,1.1,,8,4.81,8,1,4.1,8
2025/1/9,0.0,0,8,1,1.1,,8,1.68,8,1,4.2,8
2025/1/10,0.0,0,8,1,1.1,,8,2.54,8,1,4.3,8
2025/1/11,7.0,0,8,1,1.1,,8,9.45,8,1,4.3,8
2025/1/12,0.3,0,8,1,1.2,,8,3.17,8,1,4.4,8
2025/1/13,5.3,0,8,1,1.2,,8,8.14,8,1,4.5,8
2025/1/14,0.0,0,8,1,1.2,,8,2.35,8,1,4.6,8
2025/1/15,0.0,0,8,1,1.3,,8,1.98,8,1,4.6,8
2025/1/16,0.1,0,8,1,1.3,,8,3.42,8,1,4.7,8
2025/1/17,1.9,0,8,1,1.3,,8,5.89,8,1,4.8,8
2025/1/18,0.1,0,8,1,1.4,,8,4.28,8,1,4.9,8
2025/1/19,7.2,0,8,1,1.4,,8,10.75,8,1,5.0,8
2025/1/20,3.1,0,8,1,1.4,,8,7.41,8,1,5.0,8
