ダウンロードした時刻：2026/03/16 12:12:21

,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,3.8,0,8,1,3.4,,8,7.86,8,1,6.1,8
2025/1/2,6.8,0,8,1,3.4,,8,8.61,8,1,6.1,8
2025/1/3,4.7,0,8,1,3.4,,8,7.56,8,1,6.2,8
2025/1/4,2.2,0,8,1,3.5,,8,5.57,8,1,6.3,8
2025/1/5,3.5,0,8,1,3.5,,8,6.78,8,1,6.3,8
2025/1/6,1.7,0,8,1,3.5,,8,5.46,8,1,6.4,8
2025/1/7,2.8,0,8,1,3.5,,8,5.70,8,1,6.5,8
2025/1/8,6.2,0,8,1,3.6,,8,9.01,8,1,6.6,8
2025/1/9,0.4,0,8,1,3.6,,8,3.84,8,1,6.6,8
2025/1/10,4.1,0,8,1,3.7,,8,7.80,8,1,6.7,8
2025/1/11,8.8,0,8,1,3.7,,8,10.25,8,1,6.8,8
2025/1/12,5.6,0,8,1,3.7,,8,8.52,8,1,6.9,8
2025/1/13,5.3,0,8,1,3.8,,8,8.57,8,1,6.9,8
2025/1/14,3.7,0,8,1,3.8,,8,6.07,5,1,7.0,8
2025/1/15,0.0,0,8,1,3.8,,8,3.91,8,1,7.1,8
2025/1/16,3.3,0,8,1,3.8,,8,7.75,8,1,7.1,8
2025/1/17,4.4,0,8,1,3.9,,8,9.73,8,1,7.2,8
2025/1/18,4.3,0,8,1,3.9,,8,9.25,8,1,7.3,8
2025/1/19,7.7,0,8,1,3.8,,8,10.04,8,1,7.3,8
