ダウンロードした時刻：2026/03/16 12:12:51

,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,0.9,0,8,1,2.3,,8,4.56,8,1,5.6,8
2025/1/2,0.3,0,8,1,2.3,,8,4.96,8,1,5.6,8
2025/1/3,4.1,0,8,1,2.3,,8,8.44,8,1,5.7,8
2025/1/4,1.9,0,8,1,2.3,,8,6.01,8,1,5.7,8
2025/1/5,2.9,0,8,1,2.3,,8,6.12,8,1,5.8,8
2025/1/6,1.3,0,8,1,2.3,,8,5.31,8,1,5.9,8
2025/1/7,2.1,0,8,1,2.3,,8,5.85,8,1,5.9,8
2025/1/8,0.2,0,8,1,2.4,,8,3.94,8,1,6.0,8
2025/1/9,0.0,0,8,1,2.4,,8,2.12,8,1,6.1,8
2025/1/10,1.6,0,8,1,2.5,,8,7.11,8,1,6.2,8
2025/1/11,6.4,0,8,1,2.5,,8,10.16,8,1,6.3,8
2025/1/12,5.9,0,8,1,2.6,,8,8.78,8,1,6.3,8
2025/1/13,3.1,0,8,1,2.6,,8,7.31,8,1,6.4,8
2025/1/14,0.0,0,8,1,2.7,,8,3.21,8,1,6.5,8
2025/1/15,0.0,0,8,1,2.7,,8,2.68,8,1,6.6,8
2025/1/16,3.6,0,8,1,2.7,,8,7.46,8,1,6.7,8
2025/1/17,1.0,0,8,1,2.7,,8,5.13,8,1,6.7,8
2025/1/18,4.5,0,8,1,2.7,,8,9.14,8,1,6.8,8
2025/1/19,7.4,0,8,1,2.7,,8,10.86,8,1,6.8,8
2025/1/20,1.5,0,8,1,2.7,,8,6.32,8,1,6.9,8
