ダウンロードした時刻：2026/03/16 12:12:57

,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.0,0,8,1,4.6,,8,11.00,8,1,7.4,8
2025/1/2,4.7,0,8,1,4.6,,8,7.04,8,1,7.4,8
2025/1/3,7.5,0,8,1,4.6,,8,10.00,8,1,7.4,8
2025/1/4,5.4,0,8,1,4.6,,8,7.80,8,1,7.5,8
2025/1/5,5.0,0,8,1,4.6,,8,7.81,8,1,7.5,8
2025/1/6,2.3,0,8,1,4.6,,8,5.02,8,1,7.5,8
2025/1/7,7.6,0,8,1,4.6,,8,10.17,8,1,7.6,8
2025/1/8,5.4,0,8,1,4.6,,8,7.89,8,1,7.6,8
2025/1/9,0.1,0,8,1,4.6,,8,3.14,8,1,7.6,8
2025/1/10,3.2,0,8,1,4.6,,8,5.06,8,1,7.7,8
2025/1/11,9.2,0,8,1,4.6,,8,11.98,8,1,7.7,8
2025/1/12,4.5,0,8,1,4.6,,8,7.26,8,1,7.8,8
2025/1/13,6.7,0,8,1,4.6,,8,8.74,8,1,7.8,8
2025/1/14,3.9,0,8,1,4.6,,8,6.00,8,1,7.9,8
2025/1/15,1.1,0,8,1,4.7,,8,4.69,8,1,8.0,8
2025/1/16,7.8,0,8,1,4.7,,8,11.25,8,1,8.1,8
2025/1/17,8.2,0,8,1,4.7,,8,12.05,8,1,8.1,8
2025/1/18,5.4,0,8,1,4.7,,8,8.93,8,1,8.2,8
2025/1/19,9.3,0,8,1,4.8,,8,11.70,8,1,8.3,8
2025/1/20,5.0,0,8,1,4.8,,8,8.17,8,1,8.4,8
