ダウンロードした時刻：2026/03/16 12:13:20

,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.2,0,8,1,4.0,,8,10.24,8,1,6.9,8
2025/1/2,4.7,0,8,1,4.0,,8,7.85,8,1,6.9,8
2025/1/3,7.1,0,8,1,4.0,,8,9.70,8,1,6.9,8
2025/1/4,1.1,0,8,1,4.0,,8,5.81,8,1,7.0,8
2025/1/5,2.3,0,8,1,4.0,,8,7.27,8,1,7.0,8
2025/1/6,3.2,0,8,1,4.0,,8,6.55,8,1,7.1,8
2025/1/7,3.4,0,8,1,4.0,,8,5.91,8,1,7.1,8
2025/1/8,1.9,0,8,1,4.0,,8,4.30,5,1,7.2,8
2025/1/9,1.0,0,8,1,4.1,,8,4.69,8,1,7.2,8
2025/1/10,1.3,0,8,1,4.1,,8,4.99,8,1,7.3,8
2025/1/11,6.4,0,8,1,4.1,,8,9.60,8,1,7.4,8
2025/1/12,1.6,0,8,1,4.1,,8,6.60,8,1,7.4,8
2025/1/13,5.7,0,8,1,4.2,,8,9.54,8,1,7.5,8
2025/1/14,4.3,0,8,1,4.2,,8,7.98,8,1,7.6,8
2025/1/15,0.5,0,8,1,4.2,,8,4.89,8,1,7.6,8
2025/1/16,5.5,0,8,1,4.2,,8,8.92,8,1,7.7,8
2025/1/17,4.1,0,8,1,4.2,,8,7.58,8,1,7.8,8
2025/1/18,6.8,0,8,1,4.3,,8,10.93,8,1,7.8,8
2025/1/19,7.9,0,8,1,4.3,,8,10.24,8,1,7.9,8
2025/1/20,4.2,0,8,1,4.3,,8,8.11,8,1,8.0,8
