ダウンロードした時刻：2026/03/16 12:13:26

,白河,白河,白河,白河,白河,白河,白河,白河,白河,白河,白河,白河
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,5.9,0,8,1,4.7,,8,,0,1,,0
2025/1/2,4.3,0,8,1,4.7,,8,,0,1,,0
2025/1/3,6.7,0,8,1,4.7,,8,,0,1,,0
2025/1/4,4.3,0,8,1,4.7,,8,,0,1,,0
2025/1/5,8.4,0,8,1,4.7,,8,,0,1,,0
2025/1/6,2.0,0,8,1,4.7,,8,,0,1,,0
2025/1/7,8.3,0,8,1,4.8,,8,,0,1,,0
2025/1/8,4.7,0,8,1,4.8,,8,,0,1,,0
2025/1/9,6.4,0,8,1,4.8,,8,,0,1,,0
2025/1/10,5.2,0,8,1,4.9,,8,,0,1,,0
2025/1/11,8.8,0,8,1,4.9,,8,,0,1,,0
2025/1/12,1.1,0,8,1,4.9,,8,,0,1,,0
2025/1/13,7.4,0,8,1,4.9,,8,,0,1,,0
2025/1/14,6.6,0,8,1,4.9,,8,,0,1,,0
2025/1/15,6.6,0,8,1,4.9,,8,,0,1,,0
2025/1/16,4.9,0,8,1,4.9,,8,,0,1,,0
2025/1/17,1.9,0,8,1,4.9,,8,,0,1,,0
2025/1/18,8.8,0,8,1,4.9,,8,,0,1,,0
2025/1/19,8.5,0,8,1,4.8,,8,,0,1,,0
2025/1/20,5.0,0,8,1,4.8,,8,,0,1,,0
2025/1/21,3.8,0,8,1,4.8,,8,,0,1,,0
2025/1/22,9.6,0,8,1,4.9,,8,,0,1,,0
2025/1/23,7.4,0,8,1,4.9,,8,,0,1,,0
2025/1/24,7.0,0,8,1,5.0,,8,,0,1,,0
