ダウンロードした時刻：2026/03/16 12:13:13

,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,3.1,0,8,1,1.9,,8,6.99,8,1,4.7,8
2025/1/2,0.0,0,8,1,1.9,,8,1.02,8,1,4.7,8
2025/1/3,1.7,0,8,1,1.8,,8,6.24,8,1,4.7,8
2025/1/4,0.7,0,8,1,1.8,,8,4.39,8,1,4.7,8
2025/1/5,0.0,0,8,1,1.8,,8,2.62,8,1,4.7,8
2025/1/6,2.5,0,8,1,1.7,,8,4.87,8,1,4.7,8
2025/1/7,0.5,0,8,1,1.7,,8,2.07,8,1,4.7,8
2025/1/8,0.0,0,8,1,1.7,,8,1.48,8,1,4.8,8
2025/1/9,0.8,0,8,1,1.7,,8,2.99,8,1,4.8,8
2025/1/10,2.4,0,8,1,1.7,,8,7.52,8,1,4.9,8
2025/1/11,2.3,0,8,1,1.7,,8,6.68,8,1,4.9,8
2025/1/12,4.6,0,8,1,1.7,,8,8.73,8,1,5.0,8
2025/1/13,4.4,0,8,1,1.8,,8,8.06,8,1,5.1,8
2025/1/14,0.0,0,8,1,1.8,,8,2.28,8,1,5.2,8
2025/1/15,0.0,0,8,1,1.8,,8,1.43,8,1,5.2,8
2025/1/16,2.2,0,8,1,1.9,,8,7.41,8,1,5.3,8
2025/1/17,1.0,0,8,1,1.9,,8,4.86,8,1,5.4,8
2025/1/18,0.9,0,8,1,1.9,,8,4.84,8,1,5.5,8
2025/1/19,6.3,0,8,1,1.9,,8,10.26,8,1,5.5,8
2025/1/20,1.3,0,8,1,1.9,,8,4.61,8,1,5.6,8
