ダウンロードした時刻：2026/03/16 12:13:07

,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,3.2,0,8,1,2.1,,8,7.55,8,1,5.1,8
2025/1/2,0.0,0,8,1,2.1,,8,2.33,8,1,5.1,8
2025/1/3,0.6,0,8,1,2.1,,8,4.25,8,1,5.1,8
2025/1/4,1.6,0,8,1,2.1,,8,5.79,8,1,5.2,8
2025/1/5,2.3,0,8,1,2.0,,8,4.39,8,1,5.2,8
2025/1/6,0.0,0,8,1,2.0,,8,1.48,8,1,5.2,8
2025/1/7,1.4,0,8,1,2.0,,8,4.27,8,1,5.3,8
2025/1/8,0.6,0,8,1,2.1,,8,3.15,8,1,5.3,8
2025/1/9,0.3,0,8,1,2.1,,8,2.61,8,1,5.4,8
2025/1/10,1.6,0,8,1,2.1,,8,6.62,8,1,5.4,8
2025/1/11,6.9,0,8,1,2.1,,8,10.43,8,1,5.5,8
2025/1/12,5.9,0,8,1,2.2,,8,8.42,8,1,5.6,8
2025/1/13,4.9,0,8,1,2.2,,8,8.64,8,1,5.6,8
2025/1/14,0.2,0,8,1,2.2,,8,2.38,8,1,5.7,8
2025/1/15,0.0,0,8,1,2.2,,8,1.90,8,1,5.8,8
2025/1/16,6.4,0,8,1,2.2,,8,10.99,8,1,5.9,8
2025/1/17,3.7,0,8,1,2.2,,8,7.95,8,1,5.9,8
2025/1/18,9.5,0,8,1,2.2,,8,12.42,8,1,6.0,8
2025/1/19,8.0,0,8,1,2.2,,8,11.01,8,1,6.1,8
2025/1/20,4.7,0,8,1,2.2,,8,8.95,8,1,6.1,8
