ダウンロードした時刻：2026/03/16 12:14:44

,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,7.2,0,8,1,4.2,,8,10.71,8,1,8.1,8
2025/1/2,2.3,0,8,1,4.2,,8,7.11,8,1,8.1,8
2025/1/3,3.5,0,8,1,4.1,,8,7.66,8,1,8.2,8
2025/1/4,3.3,0,8,1,4.1,,8,9.98,8,1,8.2,8
2025/1/5,7.0,0,8,1,4.1,,8,9.21,8,1,8.3,8
2025/1/6,3.0,0,8,1,4.1,,8,5.43,8,1,8.3,8
2025/1/7,1.5,0,8,1,4.1,,8,7.02,8,1,8.3,8
2025/1/8,0.0,0,8,1,4.1,,8,3.54,8,1,8.4,8
2025/1/9,1.2,0,8,1,4.0,,8,6.07,8,1,8.4,8
2025/1/10,2.5,0,8,1,4.0,,8,8.05,8,1,8.4,8
2025/1/11,8.6,0,8,1,4.0,,8,12.34,8,1,8.4,8
2025/1/12,5.4,0,8,1,4.0,,8,9.28,8,1,8.4,8
2025/1/13,4.5,0,8,1,4.0,,8,8.05,8,1,8.5,8
2025/1/14,5.5,0,8,1,4.0,,8,8.92,8,1,8.5,8
2025/1/15,1.0,0,8,1,4.0,,8,4.30,8,1,8.5,8
2025/1/16,6.3,0,8,1,4.0,,8,11.56,8,1,8.5,8
2025/1/17,5.7,0,8,1,4.0,,8,11.10,8,1,8.6,8
2025/1/18,6.1,0,8,1,4.0,,8,10.85,8,1,8.6,8
2025/1/19,8.3,0,8,1,4.0,,8,12.02,8,1,8.7,8
2025/1/20,6.9,0,8,1,4.0,,8,11.27,8,1,8.8,8
