ダウンロードした時刻：2026/03/16 12:15:14

,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.4,0,8,1,7.0,,8,11.45,8,1,9.1,8
2025/1/2,8.2,0,8,1,7.0,,8,10.99,8,1,9.2,8
2025/1/3,3.8,0,8,1,7.0,,8,7.33,8,1,9.2,8
2025/1/4,8.6,0,8,1,7.0,,8,11.10,8,1,9.2,8
2025/1/5,7.4,0,8,1,7.0,,8,9.44,8,1,9.3,8
2025/1/6,0.1,0,8,1,7.0,,8,2.71,8,1,9.3,8
2025/1/7,7.4,0,8,1,6.9,,8,10.14,8,1,9.3,8
2025/1/8,8.8,0,8,1,6.9,,8,11.40,8,1,9.3,8
2025/1/9,9.0,0,8,1,6.9,,8,12.02,8,1,9.4,8
2025/1/10,9.5,0,8,1,6.9,,8,12.23,8,1,9.4,8
2025/1/11,9.6,0,8,1,6.8,,8,12.46,8,1,9.4,8
2025/1/12,1.7,0,8,1,6.8,,8,6.66,8,1,9.4,8
2025/1/13,8.8,0,8,1,6.8,,8,11.35,8,1,9.4,8
2025/1/14,9.6,0,8,1,6.7,,8,12.23,8,1,9.4,8
2025/1/15,7.8,0,8,1,6.7,,8,10.35,8,1,9.5,8
2025/1/16,9.7,0,8,1,6.6,,8,12.73,8,1,9.5,8
2025/1/17,9.8,0,8,1,6.6,,8,12.76,8,1,9.5,8
2025/1/18,9.8,0,8,1,6.6,,8,12.86,8,1,9.5,8
2025/1/19,6.6,0,8,1,6.5,,8,10.57,8,1,9.6,8
