ダウンロードした時刻：2026/03/16 12:14:28

,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,2.6,0,8,1,2.1,,8,5.77,8,1,5.2,8
2025/1/2,1.2,0,8,1,2.1,,8,3.73,8,1,5.2,8
2025/1/3,1.5,0,8,1,2.0,,8,3.69,8,1,5.3,8
2025/1/4,4.9,0,8,1,2.0,,8,8.49,8,1,5.3,8
2025/1/5,7.3,0,8,1,2.0,,8,9.40,8,1,5.3,8
2025/1/6,0.0,0,8,1,2.0,,8,1.05,8,1,5.4,8
2025/1/7,0.8,0,8,1,2.0,,8,3.07,8,1,5.4,8
2025/1/8,0.5,0,8,1,2.0,,8,2.99,8,1,5.5,8
2025/1/9,0.7,0,8,1,2.1,,8,3.13,8,1,5.5,8
2025/1/10,1.3,0,8,1,2.1,,8,6.23,8,1,5.6,8
2025/1/11,3.1,0,8,1,2.1,,8,8.35,8,1,5.7,8
2025/1/12,4.4,0,8,1,2.1,,8,9.59,8,1,5.7,8
2025/1/13,7.2,0,8,1,2.2,,8,11.21,8,1,5.8,8
2025/1/14,0.2,0,8,1,2.2,,8,2.98,8,1,5.9,8
2025/1/15,0.7,0,8,1,2.2,,8,3.12,8,1,5.9,8
2025/1/16,2.9,0,8,1,2.2,,8,7.12,8,1,6.0,8
2025/1/17,1.2,0,8,1,2.2,,8,5.07,8,1,6.0,8
2025/1/18,9.7,0,8,1,2.2,,8,12.33,8,1,6.1,8
2025/1/19,9.0,0,8,1,2.2,,8,11.95,8,1,6.1,8
2025/1/20,1.9,0,8,1,2.2,,8,5.86,8,1,6.2,8
