ダウンロードした時刻：2026/03/16 12:14:47

,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.1,0,8,1,5.9,,8,,0,1,,0
2025/1/2,7.7,0,8,1,5.9,,8,,0,1,,0
2025/1/3,5.8,0,8,1,5.9,,8,,0,1,,0
2025/1/4,6.8,0,8,1,5.9,,8,,0,1,,0
2025/1/5,7.9,0,8,1,5.9,,8,,0,1,,0
2025/1/6,1.6,0,8,1,5.9,,8,,0,1,,0
2025/1/7,6.6,0,8,1,5.9,,8,,0,1,,0
2025/1/8,4.3,0,8,1,5.9,,8,,0,1,,0
2025/1/9,8.1,0,8,1,5.8,,8,,0,1,,0
2025/1/10,7.6,0,8,1,5.8,,8,,0,1,,0
2025/1/11,9.3,0,8,1,5.8,,8,,0,1,,0
2025/1/12,2.6,0,8,1,5.8,,8,,0,1,,0
2025/1/13,7.6,0,8,1,5.7,,8,,0,1,,0
2025/1/14,9.1,0,8,1,5.7,,8,,0,1,,0
2025/1/15,1.7,0,8,1,5.7,,8,,0,1,,0
2025/1/16,6.2,0,8,1,5.7,,8,,0,1,,0
2025/1/17,9.4,0,8,1,5.7,,8,,0,1,,0
2025/1/18,5.8,0,8,1,5.6,,8,,0,1,,0
2025/1/19,6.4,0,8,1,5.7,,8,,0,1,,0
2025/1/20,6.1,0,8,1,5.7,,8,,0,1,,0
2025/1/21,5.7,0,8,1,5.7,,8,,0,1,,0
2025/1/22,8.7,0,8,1,5.8,,8,,0,1,,0
2025/1/23,5.8,0,8,1,5.9,,8,,0,1,,0
