ダウンロードした時刻：2026/03/16 12:15:07

,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.8,0,8,1,7.0,,8,10.73,8,1,9.3,8
2025/1/2,7.8,0,8,1,7.0,,8,10.82,8,1,9.3,8
2025/1/3,8.6,0,8,1,7.0,,8,11.05,8,1,9.4,8
2025/1/4,8.8,0,8,1,7.0,,8,11.58,8,1,9.4,8
2025/1/5,8.5,0,8,1,7.0,,8,10.52,8,1,9.4,8
2025/1/6,1.5,0,8,1,7.0,,8,5.19,8,1,9.4,8
2025/1/7,8.9,0,8,1,7.0,,8,11.52,8,1,9.4,8
2025/1/8,9.1,0,8,1,6.9,,8,12.61,8,1,9.4,8
2025/1/9,8.2,0,8,1,6.9,,8,10.12,8,1,9.5,8
2025/1/10,8.3,0,8,1,6.9,,8,10.67,8,1,9.5,8
2025/1/11,9.3,0,8,1,6.9,,8,11.82,8,1,9.5,8
2025/1/12,3.8,0,8,1,6.8,,8,9.34,8,1,9.5,8
2025/1/13,8.7,0,8,1,6.8,,8,11.34,8,1,9.5,8
2025/1/14,8.0,0,8,1,6.8,,8,11.39,8,1,9.6,8
2025/1/15,6.6,0,8,1,6.7,,8,10.39,8,1,9.6,8
2025/1/16,9.5,0,8,1,6.7,,8,12.40,8,1,9.6,8
2025/1/17,9.5,0,8,1,6.7,,8,12.76,8,1,9.7,8
2025/1/18,9.6,0,8,1,6.6,,8,12.57,8,1,9.7,8
2025/1/19,6.9,0,8,1,6.6,,8,10.50,8,1,9.8,8
2025/1/20,4.9,0,8,1,6.6,,8,9.75,8,1,9.9,8
