ダウンロードした時刻：2026/03/16 12:17:24

,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.2,0,8,1,5.7,,8,11.09,8,1,8.9,8
2025/1/2,6.0,0,8,1,5.7,,8,9.78,8,1,8.9,8
2025/1/3,4.8,0,8,1,5.7,,8,7.04,8,1,8.9,8
2025/1/4,7.4,0,8,1,5.7,,8,11.49,8,1,8.9,8
2025/1/5,8.4,0,8,1,5.7,,8,11.02,8,1,8.9,8
2025/1/6,0.1,0,8,1,5.7,,8,2.06,8,1,9.0,8
2025/1/7,5.2,0,8,1,5.6,,8,9.41,8,1,9.0,8
2025/1/8,5.3,0,8,1,5.6,,8,9.59,8,1,9.0,8
2025/1/9,3.4,0,8,1,5.6,,8,6.87,8,1,9.0,8
2025/1/10,2.2,0,8,1,5.6,,8,6.31,8,1,9.0,8
2025/1/11,9.6,0,8,1,5.6,,8,12.90,8,1,9.0,8
2025/1/12,0.8,0,8,1,5.5,,8,5.87,8,1,9.1,8
2025/1/13,8.4,0,8,1,5.5,,8,12.86,8,1,9.1,8
2025/1/14,8.6,0,8,1,5.5,,8,12.03,8,1,9.1,8
2025/1/15,2.8,0,8,1,5.5,,8,6.98,8,1,9.2,8
2025/1/16,5.5,0,8,1,5.5,,8,9.59,8,1,9.2,8
2025/1/17,9.7,0,8,1,5.5,,8,13.68,8,1,9.3,8
2025/1/18,9.8,0,8,1,5.4,,8,13.80,8,1,9.3,8
2025/1/19,7.1,0,8,1,5.5,,8,11.58,8,1,9.4,8
