ダウンロードした時刻：2026/03/16 12:15:56

,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.0,0,8,1,7.0,,8,12.07,8,1,9.6,8
2025/1/2,9.0,0,8,1,7.0,,8,11.88,8,1,9.6,8
2025/1/3,8.4,0,8,1,7.0,,8,11.25,8,1,9.6,8
2025/1/4,7.9,0,8,1,6.9,,8,11.65,8,1,9.7,8
2025/1/5,8.7,0,8,1,6.9,,8,11.00,8,1,9.7,8
2025/1/6,0.1,0,8,1,6.9,,8,2.80,8,1,9.7,8
2025/1/7,3.7,0,8,1,6.8,,8,7.54,8,1,9.7,8
2025/1/8,8.5,0,8,1,6.8,,8,12.38,8,1,9.7,8
2025/1/9,8.9,0,8,1,6.8,,8,12.83,8,1,9.7,8
2025/1/10,9.1,0,8,1,6.7,,8,12.89,8,1,9.8,8
2025/1/11,8.3,0,8,1,6.7,,8,12.35,8,1,9.8,8
2025/1/12,3.7,0,8,1,6.6,,8,8.68,8,1,9.8,8
2025/1/13,9.1,0,8,1,6.6,,8,12.86,8,1,9.8,8
2025/1/14,9.1,0,8,1,6.5,,8,12.55,8,1,9.8,8
2025/1/15,5.6,0,8,1,6.5,,8,9.77,8,1,9.8,8
2025/1/16,7.3,0,8,1,6.4,,8,11.47,8,1,9.8,8
2025/1/17,9.3,0,8,1,6.4,,8,13.17,8,1,9.9,8
2025/1/18,9.3,0,8,1,6.4,,8,13.03,8,1,9.9,8
2025/1/19,4.7,0,8,1,6.4,,8,9.69,8,1,10.0,8
2025/1/20,8.1,0,8,1,6.4,,8,11.58,8,1,10.1,8
