ダウンロードした時刻：2026/03/16 12:16:03

,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,,,1,1,,,0,,0,1,,0
2025/1/2,,,1,1,,,0,,0,1,,0
2025/1/3,,,1,1,,,0,,0,1,,0
2025/1/4,,,1,1,,,0,,0,1,,0
2025/1/5,,,1,1,,,0,,0,1,,0
2025/1/6,,,1,1,,,0,,0,1,,0
2025/1/7,,,1,1,,,0,,0,1,,0
2025/1/8,,,1,1,,,0,,0,1,,0
2025/1/9,,,1,1,,,0,,0,1,,0
2025/1/10,,,1,1,,,0,,0,1,,0
2025/1/11,,,1,1,,,0,,0,1,,0
2025/1/12,,,1,1,,,0,,0,1,,0
2025/1/13,,,1,1,,,0,,0,1,,0
2025/1/14,,,1,1,,,0,,0,1,,0
2025/1/15,,,1,1,,,0,,0,1,,0
2025/1/16,,,1,1,,,0,,0,1,,0
2025/1/17,,,1,1,,,0,,0,1,,0
2025/1/18,,,1,1,,,0,,0,1,,0
2025/1/19,,,1,1,,,0,,0,1,,0
2025/1/20,,,1,1,,,0,,0,1,,0
2025/1/21,,,1,1,,,0,,0,1,,0
2025/1/22,,,1,1,,,0,,0,1,,0
2025/1/23,,,1,1,,,0,,0,1,,0
2025/1/24,,,1,1,,,0,,0,1,,0
2025/1/25,,,1,1,,,0,,0,1,,0
2025/1/26,,,1,1,,,0,,0,1,,0
2025/1/27,,,1,1,,,0,,0,1,,0
2025/1/28,,,1,1,,,0,,0,1,,0
2025/1/29,,,1,1,,,0,,0,1,,0
2025/1/30,,,1,1,,,0,,0,1,,0
