ダウンロードした時刻：2026/03/16 12:15:27

,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）,つくば（館野）
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.5,0,8,1,6.8,,8,11.39,8,1,9.1,8
2025/1/2,9.0,0,8,1,6.8,,8,11.21,8,1,9.2,8
2025/1/3,0.2,0,8,1,6.8,,8,2.45,8,1,9.2,8
2025/1/4,8.9,0,8,1,6.8,,8,11.65,8,1,9.2,8
2025/1/5,7.1,0,8,1,6.8,,8,9.71,8,1,9.3,8
2025/1/6,0.0,0,8,1,6.7,,8,3.87,8,1,9.3,8
2025/1/7,1.9,0,8,1,6.7,,8,5.71,8,1,9.3,8
2025/1/8,8.0,0,8,1,6.7,,8,10.60,8,1,9.3,8
2025/1/9,9.5,0,8,1,6.7,,8,11.55,8,1,9.3,8
2025/1/10,9.6,0,8,1,6.7,,8,12.15,8,1,9.4,8
2025/1/11,9.4,0,8,1,6.6,,8,12.02,8,1,9.4,8
2025/1/12,0.8,0,8,1,6.6,,8,4.80,8,1,9.4,8
2025/1/13,9.5,0,8,1,6.6,,8,12.07,8,1,9.4,8
2025/1/14,9.6,0,8,1,6.5,,8,12.07,8,1,9.4,8
2025/1/15,8.9,0,8,1,6.5,,8,11.38,8,1,9.4,8
2025/1/16,3.1,0,8,1,6.5,,8,8.97,8,1,9.5,8
2025/1/17,9.7,0,8,1,6.4,,8,12.65,8,1,9.5,8
2025/1/18,9.7,0,8,1,6.4,,8,12.55,8,1,9.5,8
