ダウンロードした時刻：2026/03/16 12:18:26

,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子,銚子
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.2,0,8,1,5.9,,8,11.63,8,1,8.7,8
2025/1/2,5.1,0,8,1,5.9,,8,9.75,8,1,8.8,8
2025/1/3,0.0,0,8,1,5.9,,8,2.05,8,1,8.8,8
2025/1/4,7.6,0,8,1,5.9,,8,10.35,8,1,8.8,8
2025/1/5,4.0,0,8,1,5.9,,8,8.27,8,1,8.8,8
2025/1/6,0.4,0,8,1,5.9,,8,4.82,8,1,8.8,8
2025/1/7,3.9,0,8,1,5.9,,8,7.99,8,1,8.8,8
2025/1/8,8.4,0,8,1,5.8,,8,11.71,8,1,8.8,8
2025/1/9,9.4,0,8,1,5.8,,8,11.86,8,1,8.8,8
2025/1/10,9.7,0,8,1,5.8,,8,12.44,8,1,8.8,8
2025/1/11,9.7,0,8,1,5.7,,8,12.23,8,1,8.9,8
2025/1/12,0.0,0,8,1,5.7,,8,2.57,8,1,8.9,8
2025/1/13,9.4,0,8,1,5.6,,8,12.33,8,1,8.9,8
2025/1/14,8.9,0,8,1,5.6,,8,12.21,8,1,8.9,8
2025/1/15,8.5,0,8,1,5.6,,8,11.36,8,1,8.9,8
2025/1/16,0.1,0,8,1,5.5,,8,5.48,8,1,8.9,8
2025/1/17,9.6,0,8,1,5.5,,8,12.76,8,1,9.0,8
2025/1/18,8.6,0,8,1,5.5,,8,12.61,8,1,9.0,8
2025/1/19,2.9,0,8,1,5.5,,8,6.76,8,1,9.0,8
2025/1/20,6.6,0,8,1,5.5,,8,11.11,8,1,9.1,8
