ダウンロードした時刻：2026/03/16 12:17:44

,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.4,0,8,1,6.9,,8,12.02,8,1,9.7,8
2025/1/2,9.4,0,8,1,6.9,,8,11.82,8,1,9.7,8
2025/1/3,9.1,0,8,1,6.9,,8,11.78,8,1,9.7,8
2025/1/4,8.5,0,8,1,6.9,,8,11.77,8,1,9.7,8
2025/1/5,9.0,0,8,1,6.9,,8,11.48,8,1,9.8,8
2025/1/6,0.0,0,8,1,6.8,,8,1.81,8,1,9.8,8
2025/1/7,9.4,0,8,1,6.8,,8,12.28,8,1,9.8,8
2025/1/8,8.9,0,8,1,6.7,,8,11.71,8,1,9.8,8
2025/1/9,9.1,0,8,1,6.7,,8,11.83,8,1,9.8,8
2025/1/10,9.6,0,8,1,6.7,,8,12.79,8,1,9.8,8
2025/1/11,9.6,0,8,1,6.6,,8,12.81,8,1,9.8,8
2025/1/12,1.5,0,8,1,6.6,,8,5.94,8,1,9.8,8
2025/1/13,9.6,0,8,1,6.5,,8,12.85,8,1,9.8,8
2025/1/14,9.6,0,8,1,6.5,,8,12.74,8,1,9.8,8
2025/1/15,5.8,0,8,1,6.4,,8,8.37,8,1,9.8,8
2025/1/16,7.5,0,8,1,6.4,,8,11.50,8,1,9.9,8
2025/1/17,9.6,0,8,1,6.4,,8,13.25,8,1,9.9,8
2025/1/18,2.6,0,8,1,6.3,,8,8.37,8,1,10.0,8
2025/1/19,0.6,0,8,1,6.3,,8,4.11,8,1,10.0,8
2025/1/20,8.8,0,8,1,6.4,,8,12.96,8,1,10.1,8
