ダウンロードした時刻：2026/03/16 12:18:03

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.4,0,8,1,6.3,,8,11.45,8,1,9.0,8
2025/1/2,7.7,0,8,1,6.4,,8,11.17,8,1,9.0,8
2025/1/3,1.3,0,8,1,6.3,,8,3.97,8,1,9.0,8
2025/1/4,8.8,0,8,1,6.3,,8,11.79,8,1,9.1,8
2025/1/5,7.2,0,8,1,6.3,,8,10.35,8,1,9.1,8
2025/1/6,0.5,0,8,1,6.3,,8,4.26,8,1,9.1,8
2025/1/7,2.9,0,8,1,6.3,,8,7.34,8,1,9.1,8
2025/1/8,6.7,0,8,1,6.3,,8,10.10,8,1,9.1,8
2025/1/9,8.3,0,8,1,6.2,,8,10.80,8,1,9.1,8
2025/1/10,8.9,0,8,1,6.2,,8,12.46,8,1,9.1,8
2025/1/11,9.0,0,8,1,6.2,,8,12.51,8,1,9.1,8
2025/1/12,1.2,0,8,1,6.1,,8,6.04,8,1,9.0,8
2025/1/13,9.0,0,8,1,6.1,,8,12.36,8,1,9.0,8
2025/1/14,8.9,0,8,1,6.0,,8,12.01,8,1,9.0,8
2025/1/15,7.6,0,8,1,6.0,,8,10.48,8,1,9.0,8
2025/1/16,0.9,0,8,1,6.0,,8,6.25,8,1,9.0,8
2025/1/17,9.1,0,8,1,6.0,,8,12.66,8,1,9.0,8
2025/1/18,9.0,0,8,1,5.9,,8,12.65,8,1,9.1,8
2025/1/19,3.7,0,8,1,5.9,,8,7.38,8,1,9.1,8
2025/1/20,6.9,0,8,1,5.9,,8,10.95,8,1,9.2,8
