ダウンロードした時刻：2026/03/16 12:17:17

,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲,尾鷲
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.3,0,8,1,5.9,,8,,0,1,,0
2025/1/2,6.9,0,8,1,5.9,,8,,0,1,,0
2025/1/3,8.2,0,8,1,5.9,,8,,0,1,,0
2025/1/4,8.4,0,8,1,5.8,,8,,0,1,,0
2025/1/5,7.0,0,8,1,5.8,,8,,0,1,,0
2025/1/6,0.0,0,8,1,5.8,,8,,0,1,,0
2025/1/7,7.4,0,8,1,5.8,,8,,0,1,,0
2025/1/8,6.8,0,8,1,5.7,,8,,0,1,,0
2025/1/9,8.2,0,8,1,5.7,,8,,0,1,,0
2025/1/10,6.1,0,8,1,5.7,,8,,0,1,,0
2025/1/11,6.6,0,8,1,5.7,,8,,0,1,,0
2025/1/12,1.3,0,8,1,5.7,,8,,0,1,,0
2025/1/13,8.5,0,8,1,5.7,,8,,0,1,,0
2025/1/14,8.6,0,8,1,5.7,,8,,0,1,,0
2025/1/15,6.3,0,8,1,5.7,,8,,0,1,,0
2025/1/16,6.8,0,8,1,5.7,,8,,0,1,,0
2025/1/17,6.1,0,8,1,5.6,,8,,0,1,,0
2025/1/18,8.7,0,8,1,5.6,,8,,0,1,,0
2025/1/19,6.4,0,8,1,5.6,,8,,0,1,,0
2025/1/20,6.9,0,8,1,5.7,,8,,0,1,,0
2025/1/21,8.2,0,8,1,5.7,,8,,0,1,,0
2025/1/22,8.9,0,8,1,5.7,,8,,0,1,,0
2025/1/23,5.4,0,8,1,5.7,,8,,0,1,,0
