ダウンロードした時刻：2026/03/16 12:17:41

,網代,網代,網代,網代,網代,網代,網代,網代,網代,網代,網代,網代
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,5.4,0,8,1,5.0,,8,,0,1,,0
2025/1/2,6.3,0,8,1,5.0,,8,,0,1,,0
2025/1/3,4.6,0,8,1,5.0,,8,,0,1,,0
2025/1/4,4.1,0,8,1,5.0,,8,,0,1,,0
2025/1/5,7.0,0,8,1,5.0,,8,,0,1,,0
2025/1/6,0.3,0,8,1,4.9,,8,,0,1,,0
2025/1/7,7.5,0,8,1,4.9,,8,,0,1,,0
2025/1/8,7.5,0,8,1,4.8,,8,,0,1,,0
2025/1/9,7.4,0,8,1,4.8,,8,,0,1,,0
2025/1/10,7.4,0,8,1,4.8,,8,,0,1,,0
2025/1/11,7.4,0,8,1,4.7,,8,,0,1,,0
2025/1/12,1.8,0,8,1,4.7,,8,,0,1,,0
2025/1/13,7.5,0,8,1,4.6,,8,,0,1,,0
2025/1/14,7.1,0,8,1,4.6,,8,,0,1,,0
2025/1/15,5.4,0,8,1,4.5,,8,,0,1,,0
2025/1/16,0.3,0,8,1,4.5,,8,,0,1,,0
2025/1/17,5.5,0,8,1,4.5,,8,,0,1,,0
2025/1/18,2.3,0,8,1,4.4,,8,,0,1,,0
2025/1/19,0.4,0,8,1,4.4,,8,,0,1,,0
2025/1/20,7.0,0,8,1,4.5,,8,,0,1,,0
2025/1/21,3.5,0,8,1,4.5,,8,,0,1,,0
2025/1/22,7.0,0,8,1,4.5,,8,,0,1,,0
2025/1/23,7.8,0,8,1,4.6,,8,,0,1,,0
2025/1/24,7.8,0,8,1,4.6,,8,,0,1,,0
