ダウンロードした時刻：2026/03/16 12:18:10

,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島,三宅島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.2,0,8,1,3.8,,8,,0,1,,0
2025/1/2,8.7,0,8,1,3.7,,8,,0,1,,0
2025/1/3,5.2,0,8,1,3.7,,8,,0,1,,0
2025/1/4,2.6,0,8,1,3.7,,8,,0,1,,0
2025/1/5,4.9,0,8,1,3.7,,8,,0,1,,0
2025/1/6,0.4,0,8,1,3.7,,8,,0,1,,0
2025/1/7,1.4,0,8,1,3.7,,8,,0,1,,0
2025/1/8,3.6,0,8,1,3.6,,8,,0,1,,0
2025/1/9,1.8,0,8,1,3.6,,8,,0,1,,0
2025/1/10,5.0,0,8,1,3.6,,8,,0,1,,0
2025/1/11,7.7,0,8,1,3.6,,8,,0,1,,0
2025/1/12,0.4,0,8,1,3.6,,8,,0,1,,0
2025/1/13,8.3,0,8,1,3.6,,8,,0,1,,0
2025/1/14,3.3,0,8,1,3.5,,8,,0,1,,0
2025/1/15,1.8,0,8,1,3.5,,8,,0,1,,0
2025/1/16,5.2,0,8,1,3.5,,8,,0,1,,0
2025/1/17,1.1,0,8,1,3.5,,8,,0,1,,0
2025/1/18,2.2,0,8,1,3.5,,8,,0,1,,0
2025/1/19,0.8,0,8,1,3.5,,8,,0,1,,0
2025/1/20,4.4,0,8,1,3.5,,8,,0,1,,0
2025/1/21,0.0,0,8,1,3.6,,8,,0,1,,0
2025/1/22,5.2,0,8,1,3.6,,8,,0,1,,0
2025/1/23,7.2,0,8,1,3.6,,8,,0,1,,0
