ダウンロードした時刻：2026/03/16 12:18:13

,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島,八丈島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,5.7,0,8,1,3.0,,8,,0,1,,0
2025/1/2,3.5,0,8,1,3.0,,8,,0,1,,0
2025/1/3,4.5,0,8,1,2.9,,8,,0,1,,0
2025/1/4,3.7,0,8,1,2.9,,8,,0,1,,0
2025/1/5,4.7,0,8,1,2.8,,8,,0,1,,0
2025/1/6,0.0,0,8,1,2.8,,8,,0,1,,0
2025/1/7,0.5,0,8,1,2.8,,8,,0,1,,0
2025/1/8,2.3,0,8,1,2.8,,8,,0,1,,0
2025/1/9,0.9,0,8,1,2.7,,8,,0,1,,0
2025/1/10,1.5,0,8,1,2.7,,8,,0,1,,0
2025/1/11,4.8,0,8,1,2.7,,8,,0,1,,0
2025/1/12,2.4,0,8,1,2.7,,8,,0,1,,0
2025/1/13,3.7,0,8,1,2.7,,8,,0,1,,0
2025/1/14,1.3,0,8,1,2.6,,8,,0,1,,0
2025/1/15,0.9,0,8,1,2.6,,8,,0,1,,0
2025/1/16,0.5,0,8,1,2.6,,8,,0,1,,0
2025/1/17,1.1,0,8,1,2.6,,8,,0,1,,0
2025/1/18,1.8,0,8,1,2.6,,8,,0,1,,0
2025/1/19,1.4,0,8,1,2.6,,8,,0,1,,0
2025/1/20,2.8,0,8,1,2.6,,8,,0,1,,0
2025/1/21,6.1,0,8,1,2.6,,8,,0,1,,0
2025/1/22,4.2,0,8,1,2.6,,8,,0,1,,0
2025/1/23,5.5,0,8,1,2.7,,8,,0,1,,0
