ダウンロードした時刻：2026/03/16 12:13:49

,松江,松江,松江,松江,松江,松江,松江,松江,松江,松江,松江,松江
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.2,0,8,1,2.4,,8,11.42,8,1,5.4,8
2025/1/2,3.7,0,8,1,2.3,,8,7.38,8,1,5.4,8
2025/1/3,2.3,0,8,1,2.3,,8,5.73,8,1,5.5,8
2025/1/4,0.8,0,8,1,2.3,,8,3.97,8,1,5.5,8
2025/1/5,3.7,0,8,1,2.3,,8,7.83,8,1,5.5,8
2025/1/6,0.7,0,8,1,2.3,,8,3.33,8,1,5.6,8
2025/1/7,0.3,0,8,1,2.3,,8,3.33,8,1,5.6,8
2025/1/8,3.7,0,8,1,2.3,,8,6.82,8,1,5.6,8
2025/1/9,1.4,0,8,1,2.2,,8,5.16,8,1,5.6,8
2025/1/10,1.0,0,8,1,2.2,,8,4.71,8,1,5.7,8
2025/1/11,5.3,0,8,1,2.2,,8,9.08,8,1,5.7,8
2025/1/12,4.1,0,8,1,2.2,,8,7.26,8,1,5.7,8
2025/1/13,3.6,0,8,1,2.2,,8,7.29,8,1,5.7,8
2025/1/14,2.0,0,8,1,2.2,,8,5.95,8,1,5.8,8
2025/1/15,0.5,0,8,1,2.1,,8,4.52,8,1,5.8,8
2025/1/16,0.5,0,8,1,2.1,,8,4.38,8,1,5.8,8
2025/1/17,0.5,0,8,1,2.1,,8,4.24,8,1,5.8,8
2025/1/18,9.3,0,8,1,2.1,,8,12.92,8,1,5.8,8
2025/1/19,7.9,0,8,1,2.0,,8,11.96,8,1,5.8,8
2025/1/20,5.4,0,8,1,2.0,,8,9.27,8,1,5.9,8
