ダウンロードした時刻：2026/03/16 12:13:42

,下関,下関,下関,下関,下関,下関,下関,下関,下関,下関,下関,下関
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.2,0,8,1,3.4,,8,11.83,8,1,6.6,8
2025/1/2,8.8,0,8,1,3.3,,8,11.48,8,1,6.6,8
2025/1/3,2.4,0,8,1,3.3,,8,6.99,8,1,6.6,8
2025/1/4,1.8,0,8,1,3.3,,8,6.73,8,1,6.6,8
2025/1/5,1.1,0,8,1,3.2,,8,5.51,8,1,6.6,8
2025/1/6,1.8,0,8,1,3.2,,8,5.59,8,1,6.5,8
2025/1/7,3.8,0,8,1,3.1,,8,8.96,8,1,6.5,8
2025/1/8,5.2,0,8,1,3.1,,8,10.15,8,1,6.5,8
2025/1/9,0.8,0,8,1,3.0,,8,4.28,8,1,6.5,8
2025/1/10,0.8,0,8,1,3.0,,8,4.45,8,1,6.5,8
2025/1/11,0.5,0,8,1,3.0,,8,4.69,8,1,6.5,8
2025/1/12,4.6,0,8,1,2.9,,8,8.50,8,1,6.5,8
2025/1/13,2.5,0,8,1,2.9,,8,6.43,8,1,6.5,8
2025/1/14,0.8,0,8,1,2.9,,8,4.99,8,1,6.6,8
2025/1/15,2.6,0,8,1,2.9,,8,4.77,8,1,6.6,8
2025/1/16,0.7,0,8,1,2.9,,8,4.22,8,1,6.6,8
2025/1/17,2.3,0,8,1,2.9,,8,6.95,8,1,6.7,8
2025/1/18,4.5,0,8,1,2.9,,8,10.17,8,1,6.7,8
2025/1/19,6.0,0,8,1,2.9,,8,10.59,8,1,6.8,8
2025/1/20,8.1,0,8,1,2.9,,8,12.37,8,1,6.8,8
