ダウンロードした時刻：2026/03/16 12:15:33

,広島,広島,広島,広島,広島,広島,広島,広島,広島,広島,広島,広島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.5,0,8,1,4.7,,8,12.01,8,1,8.2,8
2025/1/2,8.9,0,8,1,4.7,,8,11.47,8,1,8.2,8
2025/1/3,7.3,0,8,1,4.7,,8,12.06,8,1,8.3,8
2025/1/4,2.7,0,8,1,4.7,,8,6.90,8,1,8.3,8
2025/1/5,3.0,0,8,1,4.6,,8,7.14,8,1,8.3,8
2025/1/6,0.5,0,8,1,4.6,,8,4.41,8,1,8.3,8
2025/1/7,6.2,0,8,1,4.6,,8,10.62,8,1,8.3,8
2025/1/8,7.1,0,8,1,4.5,,8,10.32,8,1,8.3,8
2025/1/9,4.4,0,8,1,4.5,,8,8.44,8,1,8.3,8
2025/1/10,6.7,0,8,1,4.5,,8,11.42,8,1,8.3,8
2025/1/11,5.8,0,8,1,4.5,,8,10.26,8,1,8.3,8
2025/1/12,5.9,0,8,1,4.4,,8,10.19,8,1,8.3,8
2025/1/13,7.0,0,8,1,4.4,,8,11.72,8,1,8.4,8
2025/1/14,3.9,0,8,1,4.4,,8,8.48,8,1,8.4,8
2025/1/15,5.0,0,8,1,4.3,,8,9.64,8,1,8.4,8
2025/1/16,8.2,0,8,1,4.3,,8,12.87,8,1,8.4,8
2025/1/17,1.0,0,8,1,4.3,,8,6.07,8,1,8.4,8
2025/1/18,9.1,0,8,1,4.3,,8,13.20,8,1,8.5,8
2025/1/19,4.7,0,8,1,4.2,,8,9.38,8,1,8.5,8
2025/1/20,5.4,0,8,1,4.2,,8,10.32,8,1,8.6,8
