ダウンロードした時刻：2026/03/16 12:17:01

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.3,0,8,1,4.9,,8,11.98,8,1,7.9,8
2025/1/2,9.1,0,8,1,4.9,,8,11.66,8,1,7.9,8
2025/1/3,8.1,0,8,1,4.9,,8,11.26,8,1,7.9,8
2025/1/4,8.1,0,8,1,4.8,,8,12.13,8,1,7.9,8
2025/1/5,8.0,0,8,1,4.8,,8,10.46,8,1,7.9,8
2025/1/6,0.0,0,8,1,4.8,,8,1.58,8,1,7.9,8
2025/1/7,6.6,0,8,1,4.8,,8,10.57,8,1,7.9,8
2025/1/8,7.6,0,8,1,4.8,,8,11.81,8,1,7.9,8
2025/1/9,5.3,0,8,1,4.8,,8,9.66,8,1,7.9,8
2025/1/10,5.7,0,8,1,4.7,,8,9.74,8,1,8.0,8
2025/1/11,8.4,0,8,1,4.7,,8,12.55,8,1,8.0,8
2025/1/12,8.3,0,8,1,4.7,,8,11.32,8,1,8.0,8
2025/1/13,8.5,0,8,1,4.7,,8,12.36,8,1,8.0,8
2025/1/14,7.0,0,8,1,4.6,,8,10.15,8,1,8.1,8
2025/1/15,4.6,0,8,1,4.6,,8,8.29,8,1,8.1,8
2025/1/16,9.1,0,8,1,4.6,,8,13.07,8,1,8.1,8
2025/1/17,5.6,0,8,1,4.5,,8,10.98,8,1,8.1,8
2025/1/18,9.7,0,8,1,4.5,,8,13.37,8,1,8.2,8
2025/1/19,7.7,0,8,1,4.5,,8,12.14,8,1,8.2,8
2025/1/20,7.0,0,8,1,4.5,,8,11.57,8,1,8.3,8
