ダウンロードした時刻：2026/03/16 12:17:04

,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.8,0,8,1,4.1,,8,11.71,8,1,7.2,8
2025/1/2,8.8,0,8,1,4.0,,8,11.42,8,1,7.2,8
2025/1/3,6.4,0,8,1,4.0,,8,10.34,8,1,7.2,8
2025/1/4,1.1,0,8,1,4.0,,8,5.50,8,1,7.2,8
2025/1/5,7.7,0,8,1,3.9,,8,10.65,8,1,7.2,8
2025/1/6,0.0,0,8,1,3.9,,8,1.90,8,1,7.2,8
2025/1/7,6.9,0,8,1,3.9,,8,10.55,8,1,7.2,8
2025/1/8,5.6,0,8,1,3.9,,8,10.15,8,1,7.2,8
2025/1/9,4.0,0,8,1,3.8,,8,7.86,8,1,7.3,8
2025/1/10,4.1,0,8,1,3.8,,8,7.72,8,1,7.3,8
2025/1/11,2.3,0,8,1,3.8,,8,6.83,8,1,7.3,8
2025/1/12,4.2,0,8,1,3.8,,8,8.84,8,1,7.3,8
2025/1/13,2.4,0,8,1,3.8,,8,6.68,8,1,7.3,8
2025/1/14,7.0,0,8,1,3.8,,8,9.75,8,1,7.4,8
2025/1/15,2.4,0,8,1,3.7,,8,6.74,8,1,7.4,8
2025/1/16,6.0,0,8,1,3.7,,8,10.62,8,1,7.4,8
2025/1/17,3.5,0,8,1,3.7,,8,8.77,8,1,7.5,8
2025/1/18,9.5,0,8,1,3.7,,8,13.31,8,1,7.5,8
2025/1/19,8.7,0,8,1,3.7,,8,12.60,8,1,7.6,8
2025/1/20,4.7,0,8,1,3.7,,8,9.57,8,1,7.6,8
