ダウンロードした時刻：2026/03/16 12:16:54

,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.9,0,8,1,3.8,,8,12.64,8,1,7.2,8
2025/1/2,8.7,0,8,1,3.7,,8,12.18,8,1,7.2,8
2025/1/3,3.8,0,8,1,3.7,,8,7.34,8,1,7.2,8
2025/1/4,0.0,0,8,1,3.6,,8,2.57,8,1,7.1,8
2025/1/5,1.1,0,8,1,3.6,,8,5.97,8,1,7.1,8
2025/1/6,1.9,0,8,1,3.5,,8,5.03,8,1,7.1,8
2025/1/7,4.8,0,8,1,3.4,,8,9.97,8,1,7.1,8
2025/1/8,3.5,0,8,1,3.4,,8,8.27,8,1,7.0,8
2025/1/9,1.8,0,8,1,3.3,,8,5.83,8,1,7.0,8
2025/1/10,5.2,0,8,1,3.3,,8,10.10,8,1,7.0,8
2025/1/11,0.6,0,8,1,3.2,,8,4.67,8,1,7.0,8
2025/1/12,5.1,0,8,1,3.2,,8,7.71,8,1,7.0,8
2025/1/13,1.8,0,8,1,3.1,,8,5.46,8,1,7.0,8
2025/1/14,3.7,0,8,1,3.1,,8,6.93,8,1,7.0,8
2025/1/15,1.3,0,8,1,3.1,,8,3.59,8,1,7.0,8
2025/1/16,0.5,0,8,1,3.1,,8,2.76,8,1,7.0,8
2025/1/17,1.7,0,8,1,3.1,,8,6.47,8,1,7.1,8
2025/1/18,2.8,0,8,1,3.1,,8,7.77,8,1,7.1,8
2025/1/19,6.7,0,8,1,3.1,,8,12.65,8,1,7.2,8
2025/1/20,4.1,0,8,1,3.1,,8,8.68,8,1,7.3,8
