ダウンロードした時刻：2026/03/16 12:16:47

,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.5,0,8,1,4.5,,8,12.78,8,1,7.8,8
2025/1/2,8.7,0,8,1,4.5,,8,12.21,8,1,7.8,8
2025/1/3,8.2,0,8,1,4.4,,8,11.38,8,1,7.8,8
2025/1/4,2.3,0,8,1,4.4,,8,6.57,8,1,7.8,8
2025/1/5,2.3,0,8,1,4.3,,8,5.75,8,1,7.8,8
2025/1/6,3.1,0,8,1,4.2,,8,7.42,8,1,7.7,8
2025/1/7,4.6,0,8,1,4.2,,8,10.08,5,1,7.7,8
2025/1/8,2.4,0,8,1,4.1,,8,6.90,8,1,7.7,8
2025/1/9,2.3,0,8,1,4.1,,8,6.26,8,1,7.6,8
2025/1/10,6.4,0,8,1,4.0,,8,10.97,8,1,7.6,8
2025/1/11,0.4,0,8,1,4.0,,8,4.16,8,1,7.6,8
2025/1/12,5.6,0,8,1,3.9,,8,8.42,8,1,7.6,8
2025/1/13,3.2,0,8,1,3.9,,8,8.19,8,1,7.6,8
2025/1/14,1.1,0,8,1,3.9,,8,5.48,8,1,7.6,8
2025/1/15,1.1,0,8,1,3.9,,8,4.40,8,1,7.7,8
2025/1/16,0.2,0,8,1,3.9,,8,3.61,8,1,7.7,8
2025/1/17,0.7,0,8,1,3.9,,8,5.54,8,1,7.8,8
2025/1/18,4.7,0,8,1,3.9,,8,9.70,8,1,7.8,8
2025/1/19,5.2,0,8,1,3.9,,8,10.00,8,1,7.9,8
