ダウンロードした時刻：2026/03/16 12:18:56

,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.5,0,8,1,5.2,,8,12.96,8,1,8.5,8
2025/1/2,9.4,0,8,1,5.2,,8,12.60,8,1,8.5,8
2025/1/3,4.6,0,8,1,5.1,,8,7.44,8,1,8.5,8
2025/1/4,4.3,0,8,1,5.1,,8,8.40,8,1,8.5,8
2025/1/5,4.2,0,8,1,5.1,,8,7.62,8,1,8.5,8
2025/1/6,1.3,0,8,1,5.0,,8,5.12,8,1,8.5,8
2025/1/7,4.3,0,8,1,5.0,,8,8.77,8,1,8.5,8
2025/1/8,4.9,0,8,1,5.0,,8,9.42,8,1,8.4,8
2025/1/9,2.1,0,8,1,4.9,,8,6.48,8,1,8.4,8
2025/1/10,8.8,0,8,1,4.8,,8,13.11,8,1,8.4,8
2025/1/11,4.8,0,8,1,4.8,,8,7.86,8,1,8.4,8
2025/1/12,4.7,0,8,1,4.7,,8,8.45,8,1,8.4,8
2025/1/13,9.4,0,8,1,4.7,,8,13.23,8,1,8.4,8
2025/1/14,4.3,0,8,1,4.6,,8,9.49,8,1,8.3,8
2025/1/15,0.8,0,8,1,4.6,,8,2.48,8,1,8.3,8
2025/1/16,6.7,0,8,1,4.5,,8,12.08,8,1,8.3,8
2025/1/17,0.9,0,8,1,4.5,,8,5.35,8,1,8.4,8
2025/1/18,8.2,0,8,1,4.5,,8,13.20,8,1,8.4,8
2025/1/19,3.1,0,8,1,4.5,,8,7.51,8,1,8.4,8
2025/1/20,7.0,0,8,1,4.5,,8,10.89,8,1,8.5,8
