ダウンロードした時刻：2026/03/16 12:16:26

,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.4,0,8,1,3.7,,8,12.76,8,1,7.5,8
2025/1/2,7.2,0,8,1,3.7,,8,10.75,8,1,7.4,8
2025/1/3,7.3,0,8,1,3.6,,8,11.25,8,1,7.4,8
2025/1/4,0.3,0,8,1,3.6,,8,3.52,8,1,7.3,8
2025/1/5,3.3,0,8,1,3.5,,8,7.96,8,1,7.2,8
2025/1/6,3.3,0,8,1,3.4,,8,7.69,8,1,7.2,8
2025/1/7,2.3,0,8,1,3.3,,8,6.54,8,1,7.1,8
2025/1/8,1.8,0,8,1,3.3,,8,6.16,8,1,7.1,8
2025/1/9,0.3,0,8,1,3.2,,8,3.75,8,1,7.1,8
2025/1/10,4.7,0,8,1,3.2,,8,9.84,8,1,7.0,8
2025/1/11,1.7,0,8,1,3.1,,8,6.59,8,1,7.0,8
2025/1/12,0.1,0,8,1,3.1,,8,2.37,8,1,7.1,8
2025/1/13,2.3,0,8,1,3.1,,8,7.66,8,1,7.1,8
2025/1/14,1.6,0,8,1,3.1,,8,5.52,5,1,7.1,8
2025/1/15,0.5,0,8,1,3.1,,8,4.03,8,1,7.2,8
2025/1/16,0.0,0,8,1,3.1,,8,1.97,8,1,7.2,8
2025/1/17,3.8,0,8,1,3.1,,8,9.21,8,1,7.3,8
2025/1/18,7.9,0,8,1,3.2,,8,11.59,8,1,7.4,8
2025/1/19,6.1,0,8,1,3.2,,8,10.73,8,1,7.4,8
2025/1/20,5.1,0,8,1,3.2,,8,11.49,8,1,7.5,8
