ダウンロードした時刻：2026/03/16 12:18:39

,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.7,0,8,1,4.7,,8,13.03,8,1,8.2,8
2025/1/2,9.0,0,8,1,4.6,,8,12.56,8,1,8.2,8
2025/1/3,6.8,0,8,1,4.6,,8,9.82,8,1,8.1,8
2025/1/4,1.3,0,8,1,4.5,,8,6.66,8,1,8.1,8
2025/1/5,3.6,0,8,1,4.5,,8,8.04,8,1,8.1,8
2025/1/6,1.0,0,8,1,4.4,,8,5.16,8,1,8.1,8
2025/1/7,5.5,0,8,1,4.4,,8,11.31,8,1,8.0,8
2025/1/8,2.7,0,8,1,4.3,,8,7.77,8,1,8.0,8
2025/1/9,3.2,0,8,1,4.3,,8,8.81,8,1,8.0,8
2025/1/10,5.2,0,8,1,4.2,,8,10.09,8,1,8.0,8
2025/1/11,5.2,0,8,1,4.2,,8,8.63,8,1,8.0,8
2025/1/12,0.6,0,8,1,4.1,,8,5.45,8,1,8.0,8
2025/1/13,5.3,0,8,1,4.1,,8,10.38,8,1,8.0,8
2025/1/14,2.1,0,8,1,4.1,,8,7.97,8,1,8.0,8
2025/1/15,1.8,0,8,1,4.1,,8,5.33,8,1,8.0,8
2025/1/16,0.3,0,8,1,4.0,,8,4.51,8,1,8.1,8
2025/1/17,1.8,0,8,1,4.0,,8,7.12,8,1,8.1,8
2025/1/18,8.4,0,8,1,4.1,,8,12.82,8,1,8.2,8
2025/1/19,7.4,0,8,1,4.1,,8,12.48,8,1,8.3,8
2025/1/20,4.6,0,8,1,4.1,,8,9.72,8,1,8.3,8
