ダウンロードした時刻：2026/03/16 12:19:31

,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島,鹿児島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.7,0,8,1,4.7,,8,14.20,8,1,8.8,8
2025/1/2,9.6,0,8,1,4.6,,8,13.58,8,1,8.8,8
2025/1/3,9.3,0,8,1,4.5,,8,12.98,8,1,8.7,8
2025/1/4,9.2,0,8,1,4.5,,8,13.10,8,1,8.6,8
2025/1/5,6.2,0,8,1,4.4,,8,10.77,8,1,8.6,8
2025/1/6,5.6,0,8,1,4.3,,8,10.12,8,1,8.5,8
2025/1/7,2.4,0,8,1,4.2,,8,7.89,8,1,8.4,8
2025/1/8,4.1,0,8,1,4.2,,8,8.14,8,1,8.4,8
2025/1/9,0.7,0,8,1,4.1,,8,5.16,8,1,8.4,8
2025/1/10,9.1,0,8,1,4.1,,8,14.55,8,1,8.4,8
2025/1/11,2.3,0,8,1,4.1,,8,6.34,8,1,8.4,8
2025/1/12,1.5,0,8,1,4.1,,8,6.19,8,1,8.4,8
2025/1/13,3.2,0,8,1,4.1,,8,9.01,8,1,8.5,8
2025/1/14,8.4,0,8,1,4.1,,8,12.56,8,1,8.5,8
2025/1/15,0.0,0,8,1,4.1,,8,3.37,8,1,8.6,8
2025/1/16,0.1,0,8,1,4.1,,8,4.00,8,1,8.7,8
2025/1/17,4.4,0,8,1,4.1,,8,10.14,8,1,8.7,8
2025/1/18,5.1,0,8,1,4.1,,8,10.70,8,1,8.8,8
2025/1/19,5.4,0,8,1,4.1,,8,11.83,8,1,8.8,8
