ダウンロードした時刻：2026/03/16 12:19:58

,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎,宮崎
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.8,0,8,1,6.5,,8,13.70,8,1,10.4,8
2025/1/2,9.6,0,8,1,6.5,,8,13.39,8,1,10.4,8
2025/1/3,9.7,0,8,1,6.5,,8,13.26,8,1,10.4,8
2025/1/4,9.7,0,8,1,6.4,,8,13.56,8,1,10.4,8
2025/1/5,7.1,0,8,1,6.4,,8,10.99,8,1,10.3,8
2025/1/6,5.5,0,8,1,6.3,,8,10.14,8,1,10.3,8
2025/1/7,7.2,0,8,1,6.3,,8,12.47,8,1,10.3,8
2025/1/8,6.3,0,8,1,6.2,,8,10.84,8,1,10.3,8
2025/1/9,6.3,0,8,1,6.2,,8,11.70,8,1,10.3,8
2025/1/10,9.2,0,8,1,6.2,,8,14.56,8,1,10.3,8
2025/1/11,7.1,0,8,1,6.1,,8,11.04,8,1,10.3,8
2025/1/12,5.9,0,8,1,6.1,,8,10.25,8,1,10.3,8
2025/1/13,9.8,0,8,1,6.1,,8,14.10,8,1,10.3,8
2025/1/14,9.2,0,8,1,6.1,,8,13.11,8,1,10.3,8
2025/1/15,4.2,0,8,1,6.0,,8,8.04,8,1,10.4,8
2025/1/16,9.8,0,8,1,6.0,,8,14.71,8,1,10.4,8
2025/1/17,9.9,0,8,1,6.0,,8,14.49,8,1,10.4,8
2025/1/18,8.0,0,8,1,6.0,,8,13.42,8,1,10.5,8
2025/1/19,7.3,0,8,1,6.0,,8,13.02,8,1,10.5,8
