ダウンロードした時刻：2026/03/16 12:20:08

,油津,油津,油津,油津,油津,油津,油津,油津,油津,油津,油津,油津
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.5,0,8,1,5.8,,8,,0,1,,0
2025/1/2,8.6,0,8,1,5.8,,8,,0,1,,0
2025/1/3,8.6,0,8,1,5.7,,8,,0,1,,0
2025/1/4,8.5,0,8,1,5.6,,8,,0,1,,0
2025/1/5,6.9,0,8,1,5.6,,8,,0,1,,0
2025/1/6,7.1,0,8,1,5.5,,8,,0,1,,0
2025/1/7,5.4,0,8,1,5.5,,8,,0,1,,0
2025/1/8,6.6,0,8,1,5.4,,8,,0,1,,0
2025/1/9,5.2,0,8,1,5.4,,8,,0,1,,0
2025/1/10,8.7,0,8,1,5.4,,8,,0,1,,0
2025/1/11,6.0,0,8,1,5.3,,8,,0,1,,0
2025/1/12,6.1,0,8,1,5.3,,8,,0,1,,0
2025/1/13,8.7,0,8,1,5.3,,8,,0,1,,0
2025/1/14,8.6,0,8,1,5.3,,8,,0,1,,0
2025/1/15,5.0,0,8,1,5.3,,8,,0,1,,0
2025/1/16,8.8,0,8,1,5.3,,8,,0,1,,0
2025/1/17,8.3,0,8,1,5.3,,8,,0,1,,0
2025/1/18,7.2,0,8,1,5.3,,8,,0,1,,0
2025/1/19,6.1,0,8,1,5.3,,8,,0,1,,0
2025/1/20,8.8,0,8,1,5.3,,8,,0,1,,0
2025/1/21,9.0,0,8,1,5.4,,8,,0,1,,0
2025/1/22,7.2,0,8,1,5.4,,8,,0,1,,0
2025/1/23,3.7,0,8,1,5.4,,8,,0,1,,0
2025/1/24,0.0,0,8,1,5.4,,8,,0,1,,0
