ダウンロードした時刻：2026/03/16 12:16:33

,福江,福江,福江,福江,福江,福江,福江,福江,福江,福江,福江,福江
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.4,0,8,1,3.1,,8,,0,1,,0
2025/1/2,7.6,0,8,1,3.0,,8,,0,1,,0
2025/1/3,7.2,0,8,1,3.0,,8,,0,1,,0
2025/1/4,1.5,0,8,1,2.9,,8,,0,1,,0
2025/1/5,1.7,0,8,1,2.8,,8,,0,1,,0
2025/1/6,2.2,0,8,1,2.7,,8,,0,1,,0
2025/1/7,1.9,0,8,1,2.7,,8,,0,1,,0
2025/1/8,2.0,0,8,1,2.6,,8,,0,1,,0
2025/1/9,0.2,0,8,1,2.5,,8,,0,1,,0
2025/1/10,0.1,0,8,1,2.5,,8,,0,1,,0
2025/1/11,1.3,0,8,1,2.4,,8,,0,1,,0
2025/1/12,2.2,0,8,1,2.4,,8,,0,1,,0
2025/1/13,1.8,0,8,1,2.4,,8,,0,1,,0
2025/1/14,3.9,0,8,1,2.4,,8,,0,1,,0
2025/1/15,0.1,0,8,1,2.4,,8,,0,1,,0
2025/1/16,0.0,0,8,1,2.4,,8,,0,1,,0
2025/1/17,0.7,0,8,1,2.4,,8,,0,1,,0
2025/1/18,6.5,0,8,1,2.4,,8,,0,1,,0
2025/1/19,4.8,0,8,1,2.4,,8,,0,1,,0
2025/1/20,4.7,0,8,1,2.5,,8,,0,1,,0
2025/1/21,8.4,0,8,1,2.5,,8,,0,1,,0
2025/1/22,7.0,0,8,1,2.6,,8,,0,1,,0
2025/1/23,5.2,0,8,1,2.6,,8,,0,1,,0
2025/1/24,7.3,0,8,1,2.7,,8,,0,1,,0
