ダウンロードした時刻：2026/03/16 12:18:59

,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.3,0,8,1,4.4,,8,12.10,8,1,7.9,8
2025/1/2,8.6,0,8,1,4.3,,8,11.71,8,1,7.9,8
2025/1/3,5.9,0,8,1,4.3,,8,9.22,8,1,7.9,8
2025/1/4,3.3,0,8,1,4.3,,8,7.91,8,1,7.9,8
2025/1/5,3.3,0,8,1,4.2,,8,7.46,8,1,7.9,8
2025/1/6,1.3,0,8,1,4.2,,8,4.13,8,1,7.9,8
2025/1/7,5.9,0,8,1,4.2,,8,10.23,8,1,7.9,8
2025/1/8,3.9,0,8,1,4.2,,8,7.78,8,1,7.9,8
2025/1/9,1.1,0,8,1,4.1,,8,5.87,8,1,7.9,8
2025/1/10,2.1,0,8,1,4.1,,8,7.17,8,1,7.9,8
2025/1/11,2.7,0,8,1,4.1,,8,7.45,8,1,8.0,8
2025/1/12,1.2,0,8,1,4.1,,8,5.65,8,1,8.0,8
2025/1/13,0.9,0,8,1,4.1,,8,5.14,8,1,8.0,8
2025/1/14,2.4,0,8,1,4.0,,8,7.66,8,1,8.0,8
2025/1/15,0.4,0,8,1,4.0,,8,3.32,8,1,8.1,8
2025/1/16,4.4,0,8,1,4.0,,8,8.44,5,1,8.1,8
2025/1/17,3.9,0,8,1,4.0,,8,9.80,8,1,8.1,8
2025/1/18,8.7,0,8,1,4.0,,8,13.23,8,1,8.2,8
2025/1/19,3.9,0,8,1,4.0,,8,9.70,8,1,8.2,8
2025/1/20,6.5,0,8,1,4.0,,8,11.51,8,1,8.3,8
