ダウンロードした時刻：2026/03/16 12:19:09

,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.2,0,8,1,4.8,,8,11.85,8,1,8.0,8
2025/1/2,9.1,0,8,1,4.8,,8,11.36,8,1,8.0,8
2025/1/3,6.1,0,8,1,4.8,,8,9.17,8,1,8.0,8
2025/1/4,9.3,0,8,1,4.8,,8,12.30,8,1,8.1,8
2025/1/5,5.4,0,8,1,4.8,,8,8.22,8,1,8.1,8
2025/1/6,0.0,0,8,1,4.8,,8,1.53,8,1,8.1,8
2025/1/7,2.0,0,8,1,4.8,,8,4.93,8,1,8.1,8
2025/1/8,6.0,0,8,1,4.8,,8,9.35,8,1,8.1,8
2025/1/9,5.4,0,8,1,4.7,,8,9.62,8,1,8.1,8
2025/1/10,7.0,0,8,1,4.7,,8,11.61,8,1,8.1,8
2025/1/11,8.6,0,8,1,4.6,,8,11.63,8,1,8.1,8
2025/1/12,3.7,0,8,1,4.6,,8,8.26,8,1,8.1,8
2025/1/13,2.7,0,8,1,4.5,,8,7.96,8,1,8.1,8
2025/1/14,5.7,0,8,1,4.5,,8,9.02,8,1,8.1,8
2025/1/15,3.5,0,8,1,4.4,,8,6.39,8,1,8.1,8
2025/1/16,8.5,0,8,1,4.4,,8,12.06,8,1,8.1,8
2025/1/17,1.1,0,8,1,4.3,,8,6.21,8,1,8.1,8
2025/1/18,9.6,0,8,1,4.3,,8,13.03,8,1,8.1,8
2025/1/19,7.8,0,8,1,4.2,,8,11.31,8,1,8.1,8
2025/1/20,8.4,0,8,1,4.2,,8,11.81,8,1,8.2,8
