ダウンロードした時刻：2026/03/16 12:19:02

,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島,宇和島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,8.7,0,8,1,3.7,,8,,0,1,,0
2025/1/2,8.7,0,8,1,3.7,,8,,0,1,,0
2025/1/3,2.9,0,8,1,3.6,,8,,0,1,,0
2025/1/4,1.5,0,8,1,3.6,,8,,0,1,,0
2025/1/5,3.6,0,8,1,3.6,,8,,0,1,,0
2025/1/6,1.7,0,8,1,3.5,,8,,0,1,,0
2025/1/7,0.9,0,8,1,3.5,,8,,0,1,,0
2025/1/8,2.1,0,8,1,3.5,,8,,0,1,,0
2025/1/9,0.2,0,8,1,3.4,,8,,0,1,,0
2025/1/10,2.3,0,8,1,3.4,,8,,0,1,,0
2025/1/11,1.9,0,8,1,3.4,,8,,0,1,,0
2025/1/12,1.8,0,8,1,3.4,,8,,0,1,,0
2025/1/13,1.5,0,8,1,3.4,,8,,0,1,,0
2025/1/14,4.7,0,8,1,3.4,,8,,0,1,,0
2025/1/15,0.1,0,8,1,3.4,,8,,0,1,,0
2025/1/16,1.1,0,8,1,3.4,,8,,0,1,,0
2025/1/17,5.0,0,8,1,3.4,,8,,0,1,,0
2025/1/18,8.0,0,8,1,3.4,,8,,0,1,,0
2025/1/19,2.7,0,8,1,3.4,,8,,0,1,,0
2025/1/20,7.4,0,8,1,3.4,,8,,0,1,,0
2025/1/21,8.1,0,8,1,3.4,,8,,0,1,,0
2025/1/22,7.1,0,8,1,3.5,,8,,0,1,,0
2025/1/23,8.7,0,8,1,3.5,,8,,0,1,,0
