ダウンロードした時刻：2026/03/16 12:20:11

,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.7,0,8,1,6.4,,8,12.61,8,1,9.8,8
2025/1/2,9.5,0,8,1,6.4,,8,12.64,8,1,9.8,8
2025/1/3,9.5,0,8,1,6.3,,8,12.28,8,1,9.8,8
2025/1/4,9.5,0,8,1,6.3,,8,12.96,8,1,9.8,8
2025/1/5,4.0,0,8,1,6.3,,8,8.05,8,1,9.8,8
2025/1/6,3.1,0,8,1,6.3,,8,6.03,8,1,9.8,8
2025/1/7,8.9,0,8,1,6.2,,8,12.82,8,1,9.8,8
2025/1/8,7.7,0,8,1,6.2,,8,11.40,8,1,9.8,8
2025/1/9,6.4,0,8,1,6.2,,8,11.46,8,1,9.8,8
2025/1/10,9.8,0,8,1,6.2,,8,13.52,8,1,9.8,8
2025/1/11,9.1,0,8,1,6.2,,8,12.12,8,1,9.9,8
2025/1/12,7.1,0,8,1,6.1,,8,9.77,8,1,9.9,8
2025/1/13,9.7,0,8,1,6.1,,8,13.39,8,1,9.9,8
2025/1/14,8.2,0,8,1,6.1,,8,12.23,8,1,9.9,8
2025/1/15,4.4,0,8,1,6.1,,8,8.48,8,1,10.0,8
2025/1/16,9.9,0,8,1,6.0,,8,13.67,8,1,10.0,8
2025/1/17,4.6,0,8,1,6.0,,8,9.46,8,1,10.0,8
2025/1/18,9.3,0,8,1,6.0,,8,13.69,8,1,10.0,8
2025/1/19,1.8,0,8,1,6.0,,8,5.83,8,1,10.1,8
2025/1/20,9.0,0,8,1,5.9,,8,13.96,8,1,10.1,8
