ダウンロードした時刻：2026/03/16 12:20:28

,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.5,0,8,1,5.5,,8,,0,1,,0
2025/1/2,9.2,0,8,1,5.5,,8,,0,1,,0
2025/1/3,5.2,0,8,1,5.4,,8,,0,1,,0
2025/1/4,8.1,0,8,1,5.4,,8,,0,1,,0
2025/1/5,5.1,0,8,1,5.4,,8,,0,1,,0
2025/1/6,0.1,0,8,1,5.4,,8,,0,1,,0
2025/1/7,2.6,0,8,1,5.4,,8,,0,1,,0
2025/1/8,4.1,0,8,1,5.3,,8,,0,1,,0
2025/1/9,2.7,0,8,1,5.3,,8,,0,1,,0
2025/1/10,9.3,0,8,1,5.3,,8,,0,1,,0
2025/1/11,8.2,0,8,1,5.3,,8,,0,1,,0
2025/1/12,7.1,0,8,1,5.2,,8,,0,1,,0
2025/1/13,9.6,0,8,1,5.2,,8,,0,1,,0
2025/1/14,9.2,0,8,1,5.1,,8,,0,1,,0
2025/1/15,4.2,0,8,1,5.1,,8,,0,1,,0
2025/1/16,9.8,0,8,1,5.0,,8,,0,1,,0
2025/1/17,0.3,0,8,1,5.0,,8,,0,1,,0
2025/1/18,9.6,0,8,1,4.9,,8,,0,1,,0
2025/1/19,7.9,0,8,1,4.9,,8,,0,1,,0
2025/1/20,5.7,0,8,1,4.9,,8,,0,1,,0
2025/1/21,9.8,0,8,1,4.9,,8,,0,1,,0
2025/1/22,8.3,0,8,1,4.9,,8,,0,1,,0
2025/1/23,9.2,0,8,1,4.9,,8,,0,1,,0
2025/1/24,6.9,0,8,1,4.9,,8,,0,1,,0
