ダウンロードした時刻：2026/03/16 12:20:21

,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛,宿毛
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,9.4,0,8,1,5.3,,8,,0,1,,0
2025/1/2,9.4,0,8,1,5.2,,8,,0,1,,0
2025/1/3,8.2,0,8,1,5.2,,8,,0,1,,0
2025/1/4,3.4,0,8,1,5.2,,8,,0,1,,0
2025/1/5,5.9,0,8,1,5.1,,8,,0,1,,0
2025/1/6,4.0,0,8,1,5.1,,8,,0,1,,0
2025/1/7,3.6,0,8,1,5.0,,8,,0,1,,0
2025/1/8,6.8,0,8,1,5.0,,8,,0,1,,0
2025/1/9,3.9,0,8,1,4.9,,8,,0,1,,0
2025/1/10,7.2,0,8,1,4.9,,8,,0,1,,0
2025/1/11,8.1,0,8,1,4.9,,8,,0,1,,0
2025/1/12,4.1,0,8,1,4.9,,8,,0,1,,0
2025/1/13,7.6,0,8,1,4.9,,8,,0,1,,0
2025/1/14,6.7,0,8,1,4.8,,8,,0,1,,0
2025/1/15,1.7,0,8,1,4.8,,8,,0,1,,0
2025/1/16,4.4,0,8,1,4.8,,8,,0,1,,0
2025/1/17,6.3,0,8,1,4.8,,8,,0,1,,0
2025/1/18,8.5,0,8,1,4.8,,8,,0,1,,0
2025/1/19,0.2,0,8,1,4.8,,8,,0,1,,0
2025/1/20,9.1,0,8,1,4.8,,8,,0,1,,0
2025/1/21,9.6,0,8,1,4.8,,8,,0,1,,0
2025/1/22,7.4,0,8,1,4.9,,8,,0,1,,0
2025/1/23,7.7,0,8,1,4.9,,8,,0,1,,0
