ダウンロードした時刻：2026/03/16 12:19:44

,名瀬,名瀬,名瀬,名瀬,名瀬,名瀬,名瀬,名瀬,名瀬,名瀬,名瀬,名瀬
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,4.0,0,8,1,1.9,,8,11.00,8,1,6.0,8
2025/1/2,0.0,0,8,1,1.9,,8,2.60,8,1,6.0,8
2025/1/3,0.6,0,8,1,1.9,,8,4.70,8,1,6.0,8
2025/1/4,2.2,0,8,1,1.9,,8,7.74,8,1,6.0,8
2025/1/5,3.2,0,8,1,1.9,,8,8.39,8,1,6.0,8
2025/1/6,2.0,0,8,1,1.9,,8,6.76,8,1,6.0,8
2025/1/7,0.9,0,8,1,1.9,,8,6.09,8,1,6.0,8
2025/1/8,1.0,0,8,1,1.9,,8,6.30,8,1,6.0,8
2025/1/9,1.9,0,8,1,1.8,,8,5.75,8,1,6.0,8
2025/1/10,2.0,0,8,1,1.8,,8,7.97,8,1,6.0,8
2025/1/11,2.9,0,8,1,1.8,,8,9.44,8,1,6.1,8
2025/1/12,2.0,0,8,1,1.8,,8,7.61,8,1,6.1,8
2025/1/13,0.9,0,8,1,1.9,,8,6.86,8,1,6.1,8
2025/1/14,6.3,0,8,1,1.9,,8,13.27,8,1,6.2,8
2025/1/15,0.1,0,8,1,1.9,,8,1.95,8,1,6.2,8
2025/1/16,1.2,0,8,1,1.9,,8,6.15,8,1,6.2,8
2025/1/17,1.1,0,8,1,1.9,,8,6.25,8,1,6.3,8
2025/1/18,7.3,0,8,1,1.9,,8,14.32,8,1,6.3,8
2025/1/19,0.0,0,8,1,1.9,,8,5.03,8,1,6.3,8
