ダウンロードした時刻：2026/03/16 12:21:07

,与那国島,与那国島,与那国島,与那国島,与那国島,与那国島,与那国島,与那国島,与那国島,与那国島,与那国島,与那国島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,0.0,0,8,1,1.9,,8,,0,1,,0
2025/1/2,0.0,0,8,1,1.9,,8,,0,1,,0
2025/1/3,0.0,0,8,1,1.9,,8,,0,1,,0
2025/1/4,1.6,0,8,1,1.8,,8,,0,1,,0
2025/1/5,6.2,0,8,1,1.8,,8,,0,1,,0
2025/1/6,3.9,0,8,1,1.8,,8,,0,1,,0
2025/1/7,0.4,0,8,1,1.7,,8,,0,1,,0
2025/1/8,0.0,0,8,1,1.7,,8,,0,1,,0
2025/1/9,0.0,0,8,1,1.6,,8,,0,1,,0
2025/1/10,0.0,0,8,1,1.6,,8,,0,1,,0
2025/1/11,0.1,0,8,1,1.6,,8,,0,1,,0
2025/1/12,5.0,0,8,1,1.6,,8,,0,1,,0
2025/1/13,2.0,0,8,1,1.6,,8,,0,1,,0
2025/1/14,7.5,0,8,1,1.6,,8,,0,1,,0
2025/1/15,0.0,0,8,1,1.6,,8,,0,1,,0
2025/1/16,1.3,0,8,1,1.6,,8,,0,1,,0
2025/1/17,2.1,0,8,1,1.6,,8,,0,1,,0
2025/1/18,2.1,0,8,1,1.6,,8,,0,1,,0
2025/1/19,0.1,0,8,1,1.6,,8,,0,1,,0
2025/1/20,7.6,0,8,1,1.6,,8,,0,1,,0
2025/1/21,7.2,0,8,1,1.6,,8,,0,1,,0
2025/1/22,0.0,0,8,1,1.6,,8,,0,1,,0
2025/1/23,4.2,0,8,1,1.6,,8,,0,1,,0
