ダウンロードした時刻：2026/03/16 12:20:50

,宮古島,宮古島,宮古島,宮古島,宮古島,宮古島,宮古島,宮古島,宮古島,宮古島,宮古島,宮古島
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,0.0,0,8,1,3.0,,8,5.20,8,1,8.6,8
2025/1/2,0.0,0,8,1,2.9,,8,2.28,8,1,8.6,8
2025/1/3,0.0,0,8,1,2.9,,8,2.70,8,1,8.5,8
2025/1/4,5.0,0,8,1,2.9,,8,12.89,8,1,8.5,8
2025/1/5,6.6,0,8,1,2.9,,8,13.10,8,1,8.5,8
2025/1/6,5.5,0,8,1,2.8,,8,13.49,8,1,8.5,8
2025/1/7,1.8,0,8,1,2.8,,8,6.60,8,1,8.5,8
2025/1/8,4.4,0,8,1,2.8,,8,11.20,8,1,8.5,8
2025/1/9,0.0,0,8,1,2.7,,8,3.78,8,1,8.5,8
2025/1/10,0.4,0,8,1,2.7,,8,5.63,8,1,8.6,8
2025/1/11,0.8,0,8,1,2.7,,8,7.79,8,1,8.6,8
2025/1/12,5.0,0,8,1,2.7,,8,11.87,8,1,8.6,8
2025/1/13,4.9,0,8,1,2.6,,8,12.51,8,1,8.7,8
2025/1/14,6.0,0,8,1,2.6,,8,13.04,8,1,8.7,8
2025/1/15,0.0,0,8,1,2.6,,8,2.55,8,1,8.7,8
2025/1/16,2.5,0,8,1,2.6,,8,10.01,8,1,8.7,8
2025/1/17,7.5,0,8,1,2.6,,8,16.26,8,1,8.7,8
2025/1/18,6.4,0,8,1,2.6,,8,13.68,8,1,8.7,8
2025/1/19,1.6,0,8,1,2.6,,8,9.41,8,1,8.7,8
