ダウンロードした時刻：2026/03/16 12:20:41

,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,4.8,0,8,1,3.2,,8,11.31,8,1,8.6,8
2025/1/2,0.0,0,8,1,3.2,,8,4.17,8,1,8.5,8
2025/1/3,0.1,0,8,1,3.1,,8,5.39,8,1,8.5,8
2025/1/4,8.6,0,8,1,3.1,,8,15.28,8,1,8.4,8
2025/1/5,1.7,0,8,1,3.1,,8,7.26,8,1,8.4,8
2025/1/6,5.0,0,8,1,3.0,,8,13.19,8,1,8.4,8
2025/1/7,2.9,0,8,1,3.0,,8,8.39,5,1,8.4,8
2025/1/8,9.5,0,8,1,3.0,,8,15.38,8,1,8.4,8
2025/1/9,0.5,0,8,1,2.9,,8,4.68,8,1,8.4,8
2025/1/10,0.2,0,8,1,2.9,,8,4.23,8,1,8.4,8
2025/1/11,4.1,0,8,1,2.9,,8,10.66,8,1,8.5,8
2025/1/12,3.0,0,8,1,2.9,,8,9.65,8,1,8.5,8
2025/1/13,4.6,0,8,1,2.9,,8,11.29,8,1,8.5,8
2025/1/14,3.9,0,8,1,2.9,,8,11.99,8,1,8.6,8
2025/1/15,0.2,0,8,1,2.9,,8,4.41,8,1,8.6,8
2025/1/16,3.1,0,8,1,2.8,,8,11.28,8,1,8.6,8
2025/1/17,5.9,0,8,1,2.8,,8,12.75,8,1,8.7,8
2025/1/18,10.0,0,8,1,2.8,,8,16.57,8,1,8.7,8
2025/1/19,0.0,0,8,1,2.8,,8,4.05,8,1,8.7,8
2025/1/20,8.2,0,8,1,2.8,,8,16.22,8,1,8.8,8
