ダウンロードした時刻：2026/03/16 12:20:38

,名護,名護,名護,名護,名護,名護,名護,名護,名護,名護,名護,名護
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,3.2,0,8,1,3.3,,8,,0,1,,0
2025/1/2,0.0,0,8,1,3.3,,8,,0,1,,0
2025/1/3,0.4,0,8,1,3.2,,8,,0,1,,0
2025/1/4,8.6,0,8,1,3.2,,8,,0,1,,0
2025/1/5,1.2,0,8,1,3.1,,8,,0,1,,0
2025/1/6,3.8,0,8,1,3.1,,8,,0,1,,0
2025/1/7,4.1,0,8,1,3.1,,8,,0,1,,0
2025/1/8,7.3,0,8,1,3.1,,8,,0,1,,0
2025/1/9,0.9,0,8,1,3.0,,8,,0,1,,0
2025/1/10,0.7,0,8,1,3.0,,8,,0,1,,0
2025/1/11,5.2,0,8,1,3.0,,8,,0,1,,0
2025/1/12,3.7,0,8,1,3.0,,8,,0,1,,0
2025/1/13,3.9,0,8,1,3.0,,8,,0,1,,0
2025/1/14,8.0,0,8,1,3.0,,8,,0,1,,0
2025/1/15,0.0,0,8,1,3.0,,8,,0,1,,0
2025/1/16,1.4,0,8,1,3.0,,8,,0,1,,0
2025/1/17,7.3,0,8,1,2.9,,8,,0,1,,0
2025/1/18,7.5,0,8,1,2.9,,8,,0,1,,0
2025/1/19,0.0,0,8,1,2.9,,8,,0,1,,0
2025/1/20,5.9,0,8,1,2.9,,8,,0,1,,0
2025/1/21,9.8,0,8,1,2.9,,8,,0,1,,0
2025/1/22,8.7,0,8,1,2.9,,8,,0,1,,0
2025/1/23,0.2,0,8,1,2.9,,8,,0,1,,0
2025/1/24,3.5,0,8,1,2.9,,8,,0,1,,0
